"","away_team_api_id","home_team_api_id","H_overall_rating","A_overall_rating","H_potential","A_potential","H_buildUpPlaySpeedClass","H_buildUpPlayDribblingClass","H_buildUpPlayPassingClass","H_buildUpPlayPositioningClass","H_chanceCreationPassingClass","H_chanceCreationCrossingClass","H_chanceCreationShootingClass","H_chanceCreationPositioningClass","H_defencePressureClass","H_defenceAggressionClass","H_defenceTeamWidthClass","A_buildUpPlaySpeedClass","A_buildUpPlayDribblingClass","A_buildUpPlayPassingClass","A_buildUpPlayPositioningClass","A_chanceCreationPassingClass","A_chanceCreationCrossingClass","A_chanceCreationShootingClass","A_chanceCreationPositioningClass","A_defencePressureClass","A_defenceAggressionClass","A_defenceTeamWidthClass","result"
"1",8654,10252,854,802,908,878,3,1,2,2,2,3,2,1,1,2,1,2,1,1,2,1,3,2,2,1,2,1,2
"2",8668,8655,804,864,873,912,2,1,3,2,2,3,2,2,2,2,2,2,1,2,2,2,3,2,2,2,2,2,2
"4",8659,8455,906,776,960,863,3,1,2,1,2,3,3,1,1,3,2,2,1,2,2,3,3,2,2,3,2,3,2
"7",10194,8602,768,818,833,864,3,1,3,2,3,3,3,2,3,2,3,2,1,3,2,3,3,2,2,2,2,2,2
"8",8483,8528,791,733,861,820,3,1,3,2,3,3,2,2,2,2,2,3,1,3,2,3,3,2,2,3,2,3,3
"10",10261,10260,893,799,949,858,3,1,2,2,2,3,2,1,2,3,2,3,1,2,2,2,3,2,2,2,3,2,2
"11",8483,9825,871,727,950,816,2,1,1,1,1,2,2,1,1,3,2,3,1,3,2,3,3,2,2,3,2,3,2
"12",8559,8654,815,819.5939669,877,868.0962077,2,1,1,2,1,3,2,2,1,2,1,2,1,3,2,3,3,2,2,2,2,2,3
"14",8655,8658,834,801,887,878,3,1,3,2,3,3,3,2,3,2,3,2,1,3,2,2,3,2,2,2,2,2,2
"15",8472,8659,768,802,850,869,2,1,2,2,3,3,2,2,3,2,3,2,1,3,2,3,3,2,2,2,2,2,2
"16",8586,10194,803,870,855,918,2,1,3,2,3,3,2,2,2,2,2,3,1,2,2,2,2,2,2,2,3,2,3
"17",8455,8528,790,929,867,969,3,1,3,2,3,3,2,2,2,2,2,3,1,2,1,2,3,3,1,1,3,2,3
"18",10252,10261,792,867,861,912,3,1,2,2,2,3,2,2,2,3,2,3,1,2,2,2,3,2,1,1,2,1,2
"20",8650,8456,874,891,941,940,3,1,2,2,2,3,3,2,2,3,2,2,1,2,2,2,2,3,2,2,3,2,2
"21",8654,10260,895,816,953,879,3,1,2,2,2,3,2,1,2,3,2,2,1,1,2,1,3,2,2,1,2,1,2
"22",8528,8586,863,795,921,861,3,1,2,2,2,2,2,2,2,3,2,3,1,3,2,3,3,2,2,2,2,2,3
"24",9825,8655,806,886,872,951,2,1,3,2,2,3,2,2,2,2,2,2,1,1,1,1,2,2,1,1,3,2,3
"26",10194,8455,906,797,960,846,3,1,2,1,2,3,3,1,1,3,2,2,1,3,2,3,3,2,2,2,2,2,2
"27",8315,10278,817.8481077,833,868.4805294,879,2,1,1,2,2,2,3,2,2,3,2,2,1,2,2,2,3,2,2,1,2,2,3
"28",10267,9864,770,861,841,897,2,1,2,2,2,2,3,2,2,3,2,1,1,1,1,2,2,3,2,2,3,2,3
"29",8302,8581,817.8481077,858,868.4805294,929,1,1,1,2,2,2,3,2,1,3,2,1,1,1,1,3,2,3,1,2,2,2,3
"30",8659,8650,880,773,945,846,2,1,2,2,2,2,3,2,2,3,2,2,1,2,2,3,3,2,2,3,2,3,2
"31",8456,8472,802,871,888,935,2,1,3,2,3,3,2,2,2,2,2,3,1,2,2,2,3,3,2,2,3,2,2
"32",8668,10252,856,861,914,916,3,1,2,2,2,3,2,1,1,2,1,2,1,2,2,2,3,2,2,2,2,2,2
"34",8634,8696,801,923,858,967,2,1,2,2,3,3,2,1,2,3,2,2,1,1,1,2,2,3,1,3,1,3,3
"36",8305,8558,771,821,849,886,2,1,2,2,3,2,3,2,3,3,2,1,1,2,2,2,2,3,1,2,1,2,2
"37",10205,8560,762,857,823,910,2,1,1,1,2,2,3,2,2,1,2,2,1,1,1,2,2,3,1,2,1,3,2
"40",9869,9906,839,819.5939669,912,852,2,1,1,1,2,2,3,1,3,3,2,3,1,2,2,2,2,3,2,3,2,2,2
"41",8559,9825,857,819.5939669,948,868.0962077,2,1,1,1,1,2,2,1,1,3,2,2,1,3,2,3,3,2,2,2,2,2,2
"42",8455,8654,819,911,890,958,2,1,1,2,1,3,2,2,1,2,1,3,1,2,1,2,3,3,1,1,3,2,3
"44",8483,10261,792,717,861,797,3,1,2,2,2,3,2,2,2,3,2,3,1,3,2,3,3,2,2,3,2,3,3
"46",8602,9879,834,772,886,837,2,1,3,2,3,3,2,2,2,3,2,3,1,3,2,3,3,3,2,3,2,3,2
"49",9906,8315,825,845,870,902,2,1,2,2,2,3,2,2,1,2,2,2,1,1,1,2,2,3,1,3,3,2,3
"50",10278,8634,894,783,964,827,2,1,1,1,2,2,3,1,3,1,3,2,1,1,2,2,2,3,2,2,3,2,3
"51",8696,10267,847,814,906,865,1,1,1,1,2,2,3,2,2,3,2,2,1,2,2,3,3,2,1,2,3,2,2
"52",8371,8633,903,817,973,863,2,1,1,1,3,2,3,1,2,3,2,2,1,2,2,2,2,2,1,1,3,2,2
"54",8661,9869,809,794,846,854,3,1,2,2,2,2,3,2,3,2,2,2,1,2,2,2,2,2,1,2,3,2,2
"55",9864,8394,798,819.5939669,860,823,1,1,1,1,2,2,3,2,2,1,2,2,1,2,2,2,2,3,2,2,3,2,3
"57",8581,8305,802,772,883,837,1,1,2,2,2,2,3,1,2,1,2,1,1,1,2,2,2,3,2,1,3,2,2
"58",8558,10205,851,802,914,873,2,1,1,1,2,2,3,1,2,1,3,2,1,2,2,3,2,3,2,3,3,2,2
"59",10252,10194,802,870,860,916,2,1,3,2,3,3,2,2,2,2,2,3,1,2,2,2,3,2,1,1,2,1,2
"62",8602,8586,864,770,917,841,3,1,2,2,2,2,2,2,2,3,2,3,1,3,2,3,3,3,2,3,2,3,2
