team.home,away.team,H_buildUpPlaySpeedClass,H_buildUpPlayDribblingClass,H_buildUpPlayPassingClass,H_buildUpPlayPositioningClass,H_chanceCreationPassingClass,H_chanceCreationCrossingClass,H_chanceCreationShootingClass,H_chanceCreationPositioningClass,H_defencePressureClass,H_defenceAggressionClass,H_defenceTeamWidthClass,A_buildUpPlaySpeedClass,A_buildUpPlayDribblingClass,A_buildUpPlayPassingClass,A_buildUpPlayPositioningClass,A_chanceCreationPassingClass,A_chanceCreationCrossingClass,A_chanceCreationShootingClass,A_chanceCreationPositioningClass,A_defencePressureClass,A_defenceAggressionClass,A_defenceTeamWidthClass,result
Stoke City,Fulham,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Press,Normal,win
Arsenal,Everton,Balanced,Little,Short,Free Form,Safe,Normal,Normal,Free Form,Deep,Press,Normal,Balanced,Little,Mixed,Organised,Normal,Lots,Normal,Organised,Medium,Double,Normal,draw
Birmingham City,Manchester United,Fast,Little,Long,Organised,Risky,Lots,Lots,Organised,High,Double,Wide,Fast,Little,Mixed,Organised,Normal,Lots,Normal,Free Form,Medium,Press,Normal,draw
Manchester City,Blackburn Rovers,Fast,Little,Mixed,Organised,Normal,Lots,Lots,Organised,Medium,Press,Normal,Balanced,Little,Long,Organised,Normal,Lots,Normal,Organised,Medium,Double,Normal,win
Chelsea,Sunderland,Fast,Little,Mixed,Free Form,Normal,Lots,Lots,Free Form,Deep,Press,Normal,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,win
Everton,Manchester City,Balanced,Little,Mixed,Organised,Normal,Lots,Normal,Organised,Medium,Double,Normal,Fast,Little,Mixed,Organised,Normal,Lots,Lots,Organised,Medium,Press,Normal,win
Manchester United,Burnley,Fast,Little,Mixed,Organised,Normal,Lots,Normal,Free Form,Medium,Press,Normal,Fast,Little,Mixed,Organised,Risky,Lots,Lots,Organised,Medium,Double,Wide,win
Stoke City,Liverpool,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,Balanced,Little,Mixed,Organised,Normal,Normal,Lots,Organised,Medium,Press,Normal,draw
Tottenham Hotspur,Hull City,Fast,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Balanced,Little,Mixed,Organised,Risky,Lots,Normal,Organised,High,Double,Wide,draw
Wolverhampton Wanderers,Wigan Athletic,Fast,Little,Long,Organised,Risky,Lots,Lots,Organised,High,Double,Wide,Fast,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,lose
