team.home,away.team,H_buildUpPlaySpeedClass,H_buildUpPlayDribblingClass,H_buildUpPlayPassingClass,H_buildUpPlayPositioningClass,H_chanceCreationPassingClass,H_chanceCreationCrossingClass,H_chanceCreationShootingClass,H_chanceCreationPositioningClass,H_defencePressureClass,H_defenceAggressionClass,H_defenceTeamWidthClass,A_buildUpPlaySpeedClass,A_buildUpPlayDribblingClass,A_buildUpPlayPassingClass,A_buildUpPlayPositioningClass,A_chanceCreationPassingClass,A_chanceCreationCrossingClass,A_chanceCreationShootingClass,A_chanceCreationPositioningClass,A_defencePressureClass,A_defenceAggressionClass,A_defenceTeamWidthClass,result
25,13,1,1,1,2,2,2,3,2,3,2,2,1,1,1,2,2,2,3,2,3,3,2,2
1,12,1,1,3,1,3,3,3,1,1,3,2,1,1,2,2,1,2,3,2,3,2,2,1
3,18,2,1,1,2,2,2,2,2,2,2,3,2,1,2,2,1,2,3,1,3,3,2,1
17,4,2,1,2,2,1,2,2,2,3,3,2,1,1,1,2,1,2,3,2,3,2,2,2
10,26,2,1,2,1,1,2,2,1,1,3,2,1,1,1,2,2,2,3,2,3,2,2,2
12,17,1,1,2,2,1,2,3,2,3,2,2,2,1,2,2,1,2,2,2,3,3,2,2
18,8,2,1,2,2,1,2,3,1,3,3,2,2,1,2,2,2,2,2,2,3,2,3,2
25,16,1,1,1,2,2,2,3,2,3,2,2,1,1,2,2,1,3,2,2,3,3,2,1
28,14,2,1,2,2,1,3,3,2,3,3,2,1,1,2,2,2,2,3,2,2,2,3,1
33,32,2,1,1,2,2,2,2,2,2,2,3,2,1,1,2,2,2,3,2,3,2,2,3
2,31,2,1,2,2,1,2,3,1,1,2,1,1,1,3,2,3,2,3,2,1,2,1,1
4,13,1,1,1,2,1,2,3,2,3,2,2,1,1,1,2,2,2,3,2,3,3,2,2
6,1,1,1,1,2,2,2,3,2,3,2,2,1,1,3,1,3,3,3,1,1,3,2,3
1,6,1,1,3,1,3,3,3,1,1,3,2,1,1,1,2,2,2,3,2,3,2,2,2
16,28,1,1,2,2,1,3,2,2,3,3,2,2,1,2,2,1,3,3,2,3,3,2,2
18,14,2,1,2,2,1,2,3,1,3,3,2,1,1,2,2,2,2,3,2,2,2,3,2
6,8,1,1,1,2,2,2,3,2,3,2,2,2,1,2,2,2,2,2,2,3,2,3,2
21,31,2,1,1,2,2,2,3,2,3,2,2,1,1,3,2,3,2,3,2,1,2,1,1
28,13,2,1,2,2,1,3,3,2,3,3,2,1,1,1,2,2,2,3,2,3,3,2,2
33,16,2,1,1,2,2,2,2,2,2,2,3,1,1,2,2,1,3,2,2,3,3,2,1
2,1,2,1,2,2,1,2,3,1,1,2,1,1,1,3,1,3,3,3,1,1,3,2,1
4,32,1,1,1,2,1,2,3,2,3,2,2,2,1,1,2,2,2,3,2,3,2,2,2
10,3,2,1,2,1,1,2,2,1,1,3,2,2,1,1,2,2,2,2,2,2,2,3,2
12,26,1,1,2,2,1,2,3,2,3,2,2,1,1,1,2,2,2,3,2,3,2,2,2
3,28,2,1,1,2,2,2,2,2,2,2,3,2,1,2,2,1,3,3,2,3,3,2,1
8,10,2,1,2,2,2,2,2,2,3,2,3,2,1,2,1,1,2,2,1,1,3,2,3
13,2,1,1,1,2,2,2,3,2,3,3,2,2,1,2,2,1,2,3,1,1,2,1,3
14,33,1,1,2,2,2,2,3,2,2,2,3,2,1,1,2,2,2,2,2,2,2,3,1
16,6,1,1,2,2,1,3,2,2,3,3,2,1,1,1,2,2,2,3,2,3,2,2,2
31,4,1,1,3,2,3,2,3,2,1,2,1,1,1,1,2,1,2,3,2,3,2,2,1
32,12,2,1,1,2,2,2,3,2,3,2,2,1,1,2,2,1,2,3,2,3,2,2,3
1,18,1,1,3,1,3,3,3,1,1,3,2,2,1,2,2,1,2,3,1,3,3,2,3
17,21,2,1,2,2,1,2,2,2,3,3,2,2,1,1,2,2,2,3,2,3,2,2,2
26,25,1,1,1,2,2,2,3,2,3,2,2,1,1,1,2,2,2,3,2,3,2,2,1
14,10,1,1,2,2,2,2,3,2,2,2,3,2,1,2,1,1,2,2,1,1,3,2,1
13,21,1,1,1,2,2,2,3,2,3,3,2,2,1,1,2,2,2,3,2,3,2,2,2
