"","player_api_id","overall_rating","potential","preferred_foot","attacking_work_rate","defensive_work_rate","crossing","finishing","heading_accuracy","short_passing","volleys","dribbling","curve","free_kick_accuracy","long_passing","ball_control","acceleration","sprint_speed","agility","reactions","balance","shot_power","jumping","stamina","strength","long_shots","aggression","interceptions","positioning","vision","penalties","marking","standing_tackle","sliding_tackle","gk_diving","gk_handling","gk_kicking","gk_positioning","gk_reflexes"
"139844",2625,61,61,3,5,17,50,47,46,52,39,50,51,50,64,62,67,63,74,49,76,68,63,77,56,54,71,64,49,55,66,62,63,54,12,11,6,8,8
"44145",2752,72,72,3,5,17,39,40,82,59,23,41,33,19,61,57,32,34,34,64,39,60,54,62,85,20,84,71,34,55,38,72,74,67,12,7,8,10,16
"88285",2768,74,74,2,5,17,44,45,72,74,31,44,50,22,60,63,51,53,58,77,61,41,79,34,72,20,65,80,40,60,16,76,76,77,12,15,13,14,10
"72142",2770,69,69,3,5,16,58,66,64,72,55,70,74,73,70,71,54,48,58,69,65,72,54,47,61,74,64,41,71,68,69,33,43,25,12,13,6,14,15
"5122",2790,67,77,2,6,10,72,37,51,64,43,64,67,56,62,65,69,72,65,64,67,46,61,56,67,42,74,68,56,60,54,70,73,69,8,14,8,13,12
"78581",2796,69,69,3,5,17,14,12,17,23,13,14,10,11,27,19,54,52,63,64,51,23,83,34,53,11,28,25,13,35,20,14,14,15,81,63,61,60,75
"137849",2802,76,76,3,2,17,76,71,53,70,65,85,83,77,69,81,78,77,84,69,80,76,67,59,51,77,54,49,73,74,72,42,47,36,13,16,9,9,7
"154443",2805,76,77,3,5,17,53,44,57,79,27,59,56,58,70,73,66,63,64,76,71,80,74,77,77,72,82,84,59,76,51,61,82,65,11,8,13,9,15
"74153",2857,65,67,2,5,16,71,54,44,60,58,71,77,68,68,72,61,54,73,59,81,71,65,52,58,65,45,41,59,69,60,28,36,23,12,8,15,6,11
"176569",2862,72,72,2,2,17,69,64,58,67,69,71,71,71,65,74,79,84,88,71,75,74,78,34,55,69,41,38,69,67,75,22,18,20,11,15,7,10,6
"66770",2907,65,65,2,5,17,72,29,53,71,57,66,62,70,63,72,66,65,81,61,90,58,32,69,31,52,56,51,61,73,53,29,41,55,11,8,10,5,8
"175147",2973,68,68,3,5,17,66,57,62,72,58,62,59,64,71,74,54,64,66,70,52,71,56,66,72,72,74,68,62,66,54,61,62,48,8,8,11,11,6
"40325",2977,62,62,3,4,17,40,41,72,41,20,40,30,35,54,44,29,27,45,48,44,58,58,52,91,45,73,58,32,48,34,62,65,51,7,14,11,9,10
"87677",2983,75,75,3,5,17,49,76,82,64,76,61,55,59,53,74,43,52,49,76,33,83,64,67,91,72,76,41,84,58,78,30,32,19,6,14,8,13,14
"160905",2984,65,65,3,5,17,25,25,25,28,25,25,25,25,23,29,63,62,64,67,63,31,76,39,68,25,35,21,25,25,29,25,25,25,70,60,63,59,71
"8188",3140,66,71,2,6,18,60,53,64,69,54,65,63,51,68,68,72,73,74,72,67,64,68,78,67,66,68,69,30,68,63,57,62,61,15,13,8,10,7
"109380",3204,73,73,3,5,16,70,66,58,73,65,76,75,70,71,79,72,70,78,74,85,77,54,33,62,73,56,45,67,73,69,23,43,31,8,14,9,11,11
"94535",3263,67,68,2,1,2,55,44,60,63,NA,53,NA,46,49,56,65,70,NA,66,NA,58,NA,76,75,37,71,65,63,NA,64,65,66,NA,6,20,49,20,20
"452",3264,62,73,3,1,2,49,64,65,54,58,58,46,44,27,64,69,54,66,58,62,63,74,58,61,59,52,30,74,66,41,30,34,36,13,7,7,9,13
"136895",3316,67,67,2,2,17,79,54,75,56,41,62,73,67,68,64,67,68,68,69,65,77,75,76,69,57,80,64,63,60,57,55,66,70,7,11,7,8,7
"177401",3329,64,65,3,5,17,42,25,65,63,34,34,32,48,58,55,47,54,49,61,56,56,62,70,69,40,60,70,28,52,52,63,64,62,6,12,13,10,13
"103705",3377,68,68,3,2,17,69,57,47,73,59,67,63,69,69,73,70,70,82,69,70,63,78,70,70,67,55,49,67,69,56,40,50,50,7,12,6,6,15
"5948",3441,65,65,3,5,17,55,34,61,60,46,58,46,40,62,60,49,47,52,68,70,60,63,60,71,58,75,71,52,64,40,66,65,63,9,15,12,12,14
"142568",3512,65,65,2,5,17,68,62,42,61,60,70,63,61,62,67,71,69,70,58,70,62,50,67,47,49,57,62,62,62,65,56,59,60,5,6,15,13,12
"8044",3517,77,77,3,2,17,71,70,72,77,72,71,67,79,70,79,76,78,74,77,71,83,83,77,69,73,79,35,81,76,80,41,22,20,13,14,13,16,12
"13261",3520,75,75,3,4,16,74,71,47,77,70,76,73,76,75,79,70,74,80,67,86,71,53,54,65,73,47,27,76,81,68,22,28,27,9,11,13,7,15
"100402",4747,73,79,3,1,2,23,23,76,55,NA,21,NA,16,48,67,42,42,NA,53,NA,42,NA,76,88,22,76,56,58,NA,62,79,76,NA,11,23,48,23,23
"21935",4863,66,66,3,5,17,38,27,71,51,32,32,33,26,56,48,43,40,31,61,34,43,30,66,89,36,71,63,23,31,32,68,69,63,6,13,13,13,9
"73113",4902,69,69,3,5,15,53,49,52,66,57,66,63,60,64,71,65,64,66,70,70,69,73,75,74,64,89,73,58,64,52,57,72,66,10,7,7,7,9
"171628",4939,57,57,3,5,15,51,16,62,55,12,42,35,16,46,54,61,70,58,52,54,15,63,60,85,19,84,57,44,50,18,59,56,52,11,12,14,15,12
"159626",4999,57,57,3,5,17,39,62,66,49,51,48,31,36,35,62,64,58,36,39,74,62,76,59,69,39,48,21,55,52,47,25,25,25,5,14,6,7,11
"71763",5016,65,65,3,2,17,64,25,44,57,30,58,35,29,62,65,76,76,75,63,67,49,59,76,63,49,81,53,46,59,39,65,67,68,13,8,13,7,9
"81064",5044,65,65,3,5,17,25,25,25,33,25,25,25,25,28,28,28,28,47,69,25,33,50,36,74,25,31,25,25,25,23,25,25,25,57,67,70,65,71
"179575",5047,61,61,3,5,17,15,14,13,29,12,12,13,13,34,22,40,45,33,59,38,21,69,46,66,17,20,16,14,20,24,11,13,13,58,68,63,68,52
"157414",5063,67,67,2,5,15,56,55,66,66,53,58,72,74,62,64,59,45,56,66,48,72,45,80,75,71,81,66,59,70,76,58,66,66,9,13,13,11,15
"67178",5184,62,67,3,1,2,57,62,67,58,NA,61,NA,55,40,57,63,65,NA,51,NA,71,NA,64,66,61,38,58,47,NA,42,20,20,NA,8,20,40,20,20
"109237",5192,72,74,3,6,18,67,69,69,73,64,68,57,67,69,74,75,74,80,73,72,71,72,76,71,69,71,31,74,75,57,58,60,51,6,5,15,7,8
"147614",5202,71,71,3,4,15,53,53,67,70,48,56,38,55,65,70,51,43,42,68,69,70,64,77,83,65,81,75,49,63,49,60,75,69,16,7,14,11,8
"99387",5217,73,73,3,5,17,74,64,61,78,70,74,75,75,71,77,48,54,74,70,71,78,66,52,62,78,68,42,67,78,63,33,47,36,7,8,15,11,8
