"id","player_api_id","player_name","player_position","player_number"
"1","38243","David Ospina","Goalkeeper","13"
"2","35606","Per Mertesacker","Defender","4"
"3","46539","Laurent Koscielny","Defender","6"
"4","38521","Nacho Monreal","Defender","18"
"5","427438","Hector Bellerin","Defender","24"
"6","36378","Mesut Oezil","Midfielder","11"
"7","75489","Aaron Ramsey","Midfielder","16"
"8","159594","Francis Coquelin","Midfielder","34"
"9","46469","Olivier Giroud","Forward","12"
"10","50047","Alexis Sanchez","Forward","17"
"11","113836","Danny Welbeck","Forward","23"
"12","30859","Petr Cech","Goalkeeper","33"
"13","26154","Mathieu Debuchy","
Defender","2"
"14","78513","Kieran Gibbs","
Defender","3"
"15","177503","Gabriel Paulista","
Defender","5"
"16","425255","Calum Chambers","
Defender","21"
"17","31435","Tomas Rosicky","Midfielder","7"
"18","24011","Mikel Arteta","Midfielder","8"
"19","143793","Jack Wilshere","Midfielder","10"
"20","37436","Santi Cazorla","Midfielder","19"
"21","23688","Mathieu Flamini","Midfielder","20"
"22","31013","Theo Walcott","Forward","14"
"23","196386","Alex Oxlade-Chamberlain","Forward","15"
"24","385437","Serge Gnabry","Forward","27"
"25","242094","Joel Campbell","Forward","28"
