"id","player_api_id","player_name","player_position","player_number"
"1","69650","Brad Guzan","Goalkeeper","1"
"2","24208","Micah Richards ","Defender","4"
"3","161414","Ciaran Clark","Defender","6"
"4","183500","Leandro Bacuna","Defender","7"
"5","32870","Alan Hutton","Defender","21"
"6","473853","Jordan Amavi","Defender","23"
"7","179410","Idrissa Gana Gueye","Midfielder","8"
"8","23991","Scott Sinclair","Midfielder","9"
"9","182223","Ashley R. Westwood","Midfielder","15"
"10","154280","Jordan Ayew","Forward","19"
"11","150401","Libor Kozak","Forward","27"
"12","190142","Jed Steer","Goalkeeper","13"
"13","24579","Mark Bunn","Goalkeeper","31"
"14","139673","Nathan Baker","Defender","2"
"15","156007","Joseph Bennett","Defender","3"
"16","257847","Jores Okore","Defender","5"
"17","30890","Philippe Senderos","Defender","14"
"18","30352","Kieran Richardson","Defender","18"
"19","38148","Jose Angel Crespo","Defender","33"
"20","30630","Joe Cole","Midfielder","12"
"21","261313","Jordan Veretout","Midfielder","17"
"22","282251","Gary Gardner","Midfielder","22"
"23","56972","Carlos Sanchez","Midfielder","24"
"24","358289","Carles Gil","Midfielder","25"
"25","29581","Charles N'Zogbia","Midfielder","28"
"26","312765","Jack Grealish","Midfielder","40"
"27","23264","Gabriel Agbonlahor","Forward","11"
"28","107415","Rudy Gestede","Forward","39"
