"","player_api_id","id","player_name","player_position","player_number","overall_rating","potential","preferred_foot","attacking_work_rate","defensive_work_rate","crossing","finishing","heading_accuracy","short_passing","volleys","dribbling","curve","free_kick_accuracy","long_passing","ball_control","acceleration","sprint_speed","agility","reactions","balance","shot_power","jumping","stamina","strength","long_shots","aggression","interceptions","positioning","vision","penalties","marking","standing_tackle","sliding_tackle","gk_diving","gk_handling","gk_kicking","gk_positioning","gk_reflexes"
"5",30974,1,"Artur Boruc","Goalkeeper",1,76,76,3,5,17,12,11,11,25,13,14,13,19,34,18,41,46,40,72,40,21,75,31,69,15,38,25,17,40,21,13,20,20,82,72,62,74,83
"7",35515,2,"Simon Francis","Defender",2,72,72,3,2,17,75,25,68,70,26,69,51,61,64,73,73,70,60,65,60,64,50,79,77,62,73,68,58,59,44,73,77,70,12,6,10,8,12
"15",156013,3,"Steve Cook","Defender",3,72,76,3,5,17,40,20,69,68,29,54,22,22,60,68,64,62,56,69,70,47,66,68,79,13,74,68,12,35,20,71,76,71,14,12,7,14,12
"4",24625,4,"Tommy Elphick","Defender",5,71,71,3,5,15,46,32,74,65,13,50,37,39,50,69,55,42,57,61,49,55,74,66,80,43,77,61,26,41,29,76,74,70,12,13,7,7,16
"11",68237,5,"Charlie Daniels","Defender",11,71,71,2,2,17,72,45,61,68,32,69,67,68,64,67,79,78,73,61,71,48,81,79,68,46,51,65,63,62,67,71,73,72,14,16,13,6,7
"10",46810,6,"Dan Gosling","Midfielder",4,71,73,3,5,17,68,64,61,73,64,66,57,57,71,71,66,64,65,69,72,71,67,74,64,73,76,70,77,73,61,66,68,68,6,15,14,15,6
"2",23629,7,"Andrew Surman","Midfielder",6,73,73,2,5,17,68,63,59,82,55,72,61,68,76,74,64,62,63,69,73,67,71,72,69,65,68,60,65,76,67,62,68,62,16,14,7,16,8
"3",24381,8,"Marc Pugh","Midfielder",7,71,71,3,2,17,70,70,66,68,49,75,60,69,59,73,78,76,84,60,66,67,63,78,66,66,60,37,70,67,64,30,44,31,14,15,13,8,10
"13",155129,9,"Harry Arter","Midfielder",8,73,75,3,2,15,62,70,49,75,63,71,64,70,72,73,69,69,76,70,76,76,70,77,74,75,84,71,68,75,68,56,69,57,7,7,11,10,8
"14",155913,10,"Matt Ritchie","Midfielder",30,74,76,2,2,17,75,73,38,69,50,77,69,65,66,74,75,78,74,67,80,75,72,80,59,74,69,46,72,74,65,56,57,53,15,8,11,14,13
"18",184321,11,"Callum Wilson","Forward",13,75,81,3,2,17,52,79,62,70,65,73,62,45,60,75,93,90,81,70,79,69,66,77,81,64,73,40,77,71,75,20,39,25,10,15,8,10,6
"8",38617,13,"Adam Federici","Goalkeeper",23,73,73,3,5,17,19,18,18,28,32,19,27,21,25,27,47,49,50,72,42,17,73,41,72,14,44,22,16,63,41,20,11,18,75,69,82,70,75
"16",160447,15,"Adam Smith","Defender",15,70,74,3,2,17,68,43,56,69,40,68,59,66,60,71,78,74,75,70,69,67,53,72,68,64,62,69,54,58,48,71,70,68,8,9,15,9,6
"6",33408,16,"Elliott L. Ward","Defender",22,67,67,3,5,17,32,32,71,54,24,23,26,31,58,50,34,55,57,67,57,50,83,67,75,33,68,64,34,35,67,67,71,67,10,14,9,13,8
"12",101192,19,"James McCarthy","Defender",39,80,83,3,5,15,68,65,63,82,61,78,64,64,83,77,75,69,66,75,71,67,66,91,78,73,79,79,69,75,60,81,79,78,12,11,8,10,13
"17",160496,21,"Junior Stanislas","Midfielder",19,69,71,3,2,17,69,69,43,69,49,68,69,69,64,70,79,84,79,64,60,67,48,76,56,63,31,60,59,63,61,16,27,29,13,8,6,7,6
"21",242887,22,"Christian Atsu","Midfielder",20,76,81,2,2,17,67,65,50,77,58,81,70,44,66,76,94,90,88,75,92,72,67,66,45,66,49,35,74,70,73,29,30,20,13,12,12,10,9
"1",22045,23,"Lee Tomlin","Midfielder",24,70,70,3,2,17,56,74,53,70,57,73,55,67,64,70,75,75,75,60,69,76,59,67,78,69,75,46,69,70,71,29,36,33,9,12,13,12,11
"20",192780,24,"Eunan O'Kane","Midfielder",32,68,72,3,5,17,61,49,47,73,28,68,48,56,69,69,76,73,84,66,82,60,70,81,58,53,54,68,63,70,56,63,59,57,13,9,13,12,10
"9",46349,26,"Max-Alain Gradel","Forward",10,79,79,3,5,17,73,75,66,74,70,83,68,74,64,81,88,88,85,79,69,73,68,72,58,71,55,51,74,70,75,38,40,35,11,12,8,10,12
"19",185236,27,"Joshua King","Forward",17,69,75,3,5,17,63,65,53,69,67,76,69,42,47,69,88,92,76,69,71,74,66,70,57,58,36,36,60,56,62,22,27,19,12,9,11,12,7
