"","player_api_id","overall_rating","potential","preferred_foot","attacking_work_rate","defensive_work_rate","crossing","finishing","heading_accuracy","short_passing","volleys","dribbling","curve","free_kick_accuracy","long_passing","ball_control","acceleration","sprint_speed","agility","reactions","balance","shot_power","jumping","stamina","strength","long_shots","aggression","interceptions","positioning","vision","penalties","marking","standing_tackle","sliding_tackle","gk_diving","gk_handling","gk_kicking","gk_positioning","gk_reflexes","id","player_name","player_position","player_number"
"1",19243,85,86,3,2,17,63,88,82,65,81,82,58,59,48,82,75,78,63,85,52,83,60,85,91,69,90,40,88,74,76,28,39,34,11,13,12,8,11,11,"Diego Costa","Forward",19
"2",22543,82,82,3,2,17,55,83,91,67,85,74,83,71,53,81,75,68,85,85,75,79,92,68,73,76,70,41,85,68,84,16,42,19,10,13,6,9,5,10,"Radamel Falcao","Forward",9
"3",23783,82,82,3,5,17,28,56,86,65,47,58,48,27,61,64,69,70,67,84,51,63,82,68,79,66,78,85,45,56,53,83,85,86,5,12,9,5,12,3,"Gary Cahill","Defender",24
"4",30627,84,84,3,5,15,42,46,90,66,55,45,44,31,64,63,33,34,44,85,46,61,80,67,86,33,85,86,38,59,52,87,87,84,14,5,6,15,8,4,"John Terry","Defender",26
"5",30713,70,70,3,5,17,19,8,13,33,14,12,18,11,21,22,42,40,54,77,56,47,72,34,73,15,31,21,11,32,36,13,12,13,71,68,68,69,71,14,"Marco Amelia","Goalkeeper",32
"6",31306,80,80,3,2,17,72,57,87,68,48,58,70,48,56,66,63,66,57,85,47,73,83,78,85,62,90,85,61,57,58,87,87,85,15,9,13,11,13,2,"Branislav Ivanovic","Defender",2
"7",32345,77,77,3,5,15,65,45,74,77,62,68,69,59,70,72,55,62,53,68,47,71,75,89,88,60,88,79,44,55,45,81,75,77,14,9,16,14,14,21,"John Obi Mikel","Midfielder",12
"8",39534,73,76,2,1,2,73,65,63,77,NA,70,NA,68,74,75,75,74,NA,75,NA,73,NA,76,69,70,70,78,77,NA,76,60,65,NA,10,21,74,21,21,6,"Daniele Franceschini","Midfielder",4
"9",39987,80,80,3,5,17,61,83,81,75,71,73,66,51,60,76,89,89,77,77,65,78,90,75,75,77,57,48,81,71,78,23,24,21,9,10,15,14,12,26,"Loic Remy","Forward",18
"10",46518,82,82,3,5,17,14,12,12,26,12,16,17,15,32,24,52,58,53,79,41,28,38,36,80,12,42,21,11,31,40,13,11,12,83,80,74,80,84,12,"Asmir Begovic","Goalkeeper",1
"11",72541,82,84,3,5,17,78,46,69,80,54,70,66,58,74,77,79,79,75,87,73,68,74,86,72,60,76,81,64,68,66,86,87,86,13,9,10,6,5,5,"Cesar Azpilicueta","Defender",28
"12",79574,80,80,3,2,15,76,67,75,83,69,82,69,50,74,82,86,89,78,84,75,75,81,94,59,66,79,77,73,76,67,76,82,78,12,6,9,12,9,19,"Ramires","Midfielder",7
"13",94086,83,84,3,2,15,75,75,29,82,59,87,80,85,77,86,92,86,87,81,82,71,46,86,61,80,44,55,78,83,60,43,62,51,14,12,13,7,13,9,"Willian","Midfielder",22
"14",107417,88,90,3,2,17,80,81,57,85,79,94,82,79,82,90,93,87,92,86,90,79,59,74,63,82,54,41,84,86,86,25,27,22,11,12,6,8,8,7,"Eden Hazard","Midfielder",10
"15",115067,83,84,2,5,15,68,64,77,82,74,72,68,67,80,79,66,68,57,82,53,78,71,90,90,75,83,86,68,77,69,78,84,78,7,15,12,14,9,8,"Nemanja Matic","Midfielder",21
"16",128864,82,86,3,5,15,70,75,54,83,63,82,77,77,80,84,78,77,86,81,80,76,66,76,36,77,31,34,81,83,68,37,50,47,12,10,15,12,12,20,"Oscar","Midfielder",8
"17",150250,83,83,3,2,17,78,80,55,83,70,84,81,57,74,85,86,79,84,85,82,71,67,78,56,73,56,49,84,74,66,30,32,31,5,11,12,15,9,23,"Pedro Rodriguez","Midfielder",17
"18",170323,86,90,2,5,17,14,14,13,32,12,13,19,11,31,23,46,52,61,81,45,36,68,38,70,17,23,15,13,44,27,11,18,16,84,87,69,86,88,1,"Thibaut Courtois","Goalkeeper",13
"19",193866,77,78,2,6,11,22,32,74,68,23,42,27,60,73,67,70,72,48,65,47,79,74,64,86,66,92,74,38,50,27,74,79,85,12,13,9,6,10,17,"Papy Djilobodji","Defender",15
"20",281207,79,88,3,5,17,54,47,77,62,47,48,59,60,56,67,69,77,48,75,52,56,84,72,85,49,82,78,53,57,61,80,83,80,14,14,7,9,15,15,"Kurt Zouma","Defender",5
"21",303059,74,85,2,5,16,69,74,55,73,76,77,75,65,69,80,86,83,82,75,74,78,68,73,71,76,69,39,70,74,66,30,26,23,11,7,7,13,12,25,"Bertrand Traore","Midfielder",37
"22",324910,77,84,2,2,17,80,48,67,73,41,76,67,23,67,77,85,86,78,74,74,59,74,79,71,47,73,72,56,55,42,73,79,78,12,11,6,11,10,16,"Abdul Rahman Baba","Defender",6
"23",467354,72,84,2,5,17,63,64,66,68,55,78,60,54,62,77,86,79,85,66,62,75,69,75,70,66,34,43,68,65,67,32,41,36,11,15,11,15,12,22,"Kenedy","Midfielder",16
"24",604982,66,80,3,5,17,36,61,50,72,31,66,31,31,65,70,69,70,58,55,71,51,60,76,71,47,52,62,68,67,45,64,67,61,11,7,12,15,13,24,"Ruben Loftus-Cheek","Midfielder",36
