"","player_api_id","id","player_name","player_position","player_number","overall_rating","potential","preferred_foot","attacking_work_rate","defensive_work_rate","crossing","finishing","heading_accuracy","short_passing","volleys","dribbling","curve","free_kick_accuracy","long_passing","ball_control","acceleration","sprint_speed","agility","reactions","balance","shot_power","jumping","stamina","strength","long_shots","aggression","interceptions","positioning","vision","penalties","marking","standing_tackle","sliding_tackle","gk_diving","gk_handling","gk_kicking","gk_positioning","gk_reflexes"
"15",36283,1,"Wayne Hennessey","Goalkeeper",13,74,74,3,5,17,11,19,14,12,15,11,12,14,13,19,50,41,50,64,51,34,41,29,68,14,21,22,14,65,17,15,18,13,74,74,82,76,74
"6",23837,2,"Scott Dann","Defender",6,78,78,3,4,17,30,34,83,69,29,38,30,29,65,66,49,54,50,78,56,52,68,74,82,32,73,80,36,55,30,80,81,78,6,10,15,7,9
"4",23030,3,"Damien Delaney","Defender",27,74,74,2,5,17,54,32,76,54,28,25,32,49,62,55,46,48,30,71,41,49,58,75,85,59,83,73,33,45,66,77,76,78,6,14,7,14,11
"20",154271,4,"Martin Kelly","Defender",34,74,76,3,5,17,73,38,77,73,39,61,60,35,64,66,69,69,59,72,56,66,69,76,79,38,71,68,42,39,58,77,81,80,7,11,8,7,8
"23",183519,5,"Pape Ndiaye Souare","Defender",40,75,77,2,2,17,75,39,77,74,43,74,75,73,76,75,85,78,60,73,74,65,91,79,70,54,79,67,70,64,49,75,76,78,8,8,14,16,10
"11",26160,6,"Yohan Cabaye","Midfielder",7,80,80,3,5,17,77,71,70,84,73,75,80,81,82,83,66,68,74,78,77,82,70,80,70,80,77,80,71,82,84,71,75,73,14,9,16,8,12
"21",160194,7,"Yannick Bolasie","Midfielder",10,77,78,3,2,17,75,64,51,71,51,86,62,49,67,82,88,88,84,72,76,81,60,81,82,71,76,31,69,63,65,27,31,17,8,9,12,14,6
"13",28901,8,"James McArthur","Midfielder",18,76,76,3,5,17,66,56,60,78,51,72,54,69,76,79,67,64,75,74,78,65,53,79,73,61,81,75,71,71,69,73,74,71,1,1,1,1,1
"14",35345,9,"Jason Puncheon","Midfielder",42,75,75,2,5,16,84,74,41,75,71,80,71,77,71,76,77,76,76,72,79,77,73,70,68,75,62,32,74,74,73,26,46,38,13,13,14,16,12
"8",24157,10,"Fraizer Campbell","Forward",9,71,71,3,2,17,67,73,68,64,67,71,43,58,41,69,85,79,78,68,79,70,72,71,63,62,66,22,72,61,68,32,35,28,11,15,9,9,16
"10",25537,11,"Marouane Chamakh","Forward",29,74,74,3,5,16,62,73,79,76,76,72,76,67,69,75,66,67,63,75,61,80,68,78,78,72,66,45,77,76,80,44,53,38,11,12,15,14,9
"3",22998,12,"Julian Speroni","Goalkeeper",1,76,76,3,5,17,13,13,11,24,12,14,15,12,23,20,42,43,48,75,57,24,74,33,43,12,21,17,8,54,22,12,12,15,80,72,71,74,82
"18",146830,13,"Joel Ward","Defender",2,76,78,3,2,17,73,46,75,77,33,64,43,34,72,70,75,76,66,73,63,70,66,77,78,63,74,77,64,68,40,80,80,78,8,7,7,10,11
"5",23358,14,"Adrian Mariappa","Defender",3,71,71,3,5,17,57,27,76,63,21,59,33,22,61,65,75,71,68,73,76,47,80,75,77,34,58,65,53,58,44,76,76,79,6,15,8,13,10
"12",26777,15,"Brede Hangeland","Defender",4,72,72,3,5,17,34,34,80,66,38,35,37,40,59,54,33,30,22,72,28,63,29,69,86,39,77,73,19,27,44,71,76,74,8,14,10,9,14
"16",130670,19,"Chung-Yong Lee","Defender",14,72,72,3,5,17,70,62,71,73,66,75,71,65,66,73,72,76,76,74,78,65,70,79,57,62,62,56,70,74,63,42,52,43,6,7,7,8,7
"17",131409,20,"Adlene Guedioura","Midfielder",8,70,70,3,5,15,62,63,64,74,64,68,36,56,72,72,69,72,65,65,67,84,74,76,84,75,81,64,59,68,57,60,67,66,13,14,14,12,6
"24",198510,21,"Wilfried Zaha","Midfielder",11,78,81,3,5,16,75,74,43,71,51,86,54,51,63,85,88,89,85,71,79,69,50,78,67,60,64,23,73,66,66,27,30,39,15,10,15,11,10
"7",23954,22,"Jerome Thomas","Midfielder",14,68,68,3,5,17,72,62,48,67,64,69,72,27,68,70,76,72,71,63,69,66,48,62,59,58,41,56,66,69,41,33,33,30,12,12,12,6,14
"1",8985,23,"Mile Jedinak","Midfielder",15,76,76,3,5,15,59,59,79,72,67,55,59,77,68,71,51,54,56,74,66,81,51,78,87,74,86,84,52,68,80,75,81,68,13,7,15,15,15
"19",149917,24,"Jordon Mutch","Midfielder",22,71,74,3,5,17,71,67,67,72,44,74,77,75,69,73,73,77,65,73,68,78,70,78,71,75,74,65,70,68,72,64,69,63,11,13,13,11,8
"22",161415,25,"Barry Bannan","Midfielder",25,71,73,2,5,17,77,64,42,76,74,72,79,77,77,75,67,61,88,70,90,69,62,78,33,70,53,57,66,78,70,43,34,40,6,9,10,8,12
"2",22929,26,"Joe Ledley","Midfielder",28,74,74,2,5,15,68,64,73,77,53,71,72,53,72,73,68,69,64,77,72,70,79,87,78,67,70,68,69,78,71,72,71,65,13,13,8,10,13
"9",24225,27,"Shola Ameobi","Forward",23,69,69,3,5,16,47,70,78,58,70,61,54,35,35,69,52,41,53,73,49,71,72,67,91,57,59,21,72,62,80,35,38,32,9,10,10,15,14
"25",363340,28,"Dwight Gayle","Forward",16,71,75,3,5,17,59,74,67,58,68,69,50,75,52,68,86,83,84,68,80,72,71,66,60,69,41,35,72,34,72,12,21,13,10,7,16,8,8
