"id","player_api_id","player_name","player_position","player_number"
"1","36283","Wayne Hennessey","Goalkeeper","13"
"2","23837","Scott Dann","Defender","6"
"3","23030","Damien Delaney","Defender","27"
"4","154271","Martin Kelly","Defender","34"
"5","183519","Pape Ndiaye Souare","Defender","40"
"6","26160","Yohan Cabaye","Midfielder","7"
"7","160194","Yannick Bolasie","Midfielder","10"
"8","28901","James McArthur","Midfielder","18"
"9","35345","Jason Puncheon","Midfielder","42"
"10","24157","Fraizer Campbell","Forward","9"
"11","25537","Marouane Chamakh","Forward","29"
"12","22998","Julian Speroni","Goalkeeper","1"
"13","146830","Joel Ward","Defender","2"
"14","23358","Adrian Mariappa","Defender","3"
"15","26777","Brede Hangeland","Defender","4"
"19","130670","Chung-Yong Lee","Defender","14"
"20","131409","Adlene Guedioura","Midfielder","8"
"21","198510","Wilfried Zaha","Midfielder","11"
"22","23954","Jerome Thomas","Midfielder","14"
"23","8985","Mile Jedinak","Midfielder","15"
"24","149917","Jordon Mutch","Midfielder","22"
"25","161415","Barry Bannan","Midfielder","25"
"26","22929","Joe Ledley","Midfielder","28"
"27","24225","Shola Ameobi","Forward","23"
"28","363340","Dwight Gayle","Forward","16"
