"","player_api_id","id","player_name","player_position","player_number","overall_rating","potential","preferred_foot","attacking_work_rate","defensive_work_rate","crossing","finishing","heading_accuracy","short_passing","volleys","dribbling","curve","free_kick_accuracy","long_passing","ball_control","acceleration","sprint_speed","agility","reactions","balance","shot_power","jumping","stamina","strength","long_shots","aggression","interceptions","positioning","vision","penalties","marking","standing_tackle","sliding_tackle","gk_diving","gk_handling","gk_kicking","gk_positioning","gk_reflexes"
"11",31465,1,"Tim Howard","Goalkeeper",24,79,79,3,5,17,16,13,12,33,12,13,14,14,30,19,50,48,48,83,50,26,75,26,71,15,32,22,13,52,43,11,12,14,82,76,77,78,79
"8",24846,2,"Leighton Baines","Defender",3,82,82,2,2,17,91,70,74,81,63,77,81,82,74,76,76,75,75,80,85,84,72,86,69,75,74,80,75,76,90,81,82,82,8,15,10,13,12
"2",23268,3,"Phil Jagielka","Defender",6,81,81,3,5,15,55,30,79,71,44,49,55,31,66,62,66,68,51,74,64,69,90,78,83,54,79,85,51,39,68,82,85,83,32,33,38,32,34
"15",77690,4,"Seamus Coleman","Defender",23,81,82,3,2,15,81,65,67,77,64,78,42,35,70,77,79,80,77,81,74,75,72,90,73,68,78,77,76,70,60,83,84,84,5,15,10,13,7
"23",263653,5,"John Stones","Defender",26,77,87,3,2,17,62,29,74,79,27,66,26,29,68,76,74,74,63,76,57,46,72,76,78,41,70,75,48,59,37,79,80,81,7,15,11,10,8
"6",24156,6,"Darron Gibson","Midfielder",4,76,76,3,5,17,79,57,65,82,66,72,61,71,81,76,52,64,55,74,61,82,72,76,74,80,72,70,67,76,63,76,77,76,15,7,12,15,6
"9",26151,7,"Kevin Mirallas","Midfielder",11,80,80,3,2,17,82,78,64,80,76,84,77,74,77,82,89,87,86,76,74,77,73,76,61,76,48,35,80,67,75,40,55,53,8,10,14,13,15
"16",101192,8,"James McCarthy","Midfielder",16,80,83,3,5,15,68,65,63,82,61,78,64,64,83,77,75,69,66,75,71,67,66,91,78,73,79,79,69,75,60,81,79,78,12,11,8,10,13
"3",23782,9,"Gareth Barry","Midfielder",18,79,79,2,5,15,80,56,74,83,65,64,78,78,81,73,32,51,52,78,63,77,70,79,77,71,80,82,58,74,72,79,80,80,7,13,9,7,12
"22",215384,10,"Ross Barkley","Midfielder",20,80,88,3,5,17,65,70,65,84,61,85,56,56,78,84,79,78,70,77,59,78,63,74,77,79,73,45,71,81,65,56,60,52,9,14,12,6,10
"17",181276,11,"Romelu Lukaku","Forward",10,82,88,2,5,17,68,84,80,67,71,76,64,66,58,76,80,85,64,73,48,86,71,80,92,76,72,27,84,69,80,27,30,30,8,15,14,7,10
"18",186054,12,"Joel Robles","Goalkeeper",1,74,76,3,5,17,12,11,12,15,13,15,11,20,26,25,49,52,47,67,41,36,64,30,72,11,23,22,16,38,15,15,11,14,76,74,75,74,75
