"","player_api_id","overall_rating","potential","preferred_foot","attacking_work_rate","defensive_work_rate","crossing","finishing","heading_accuracy","short_passing","volleys","dribbling","curve","free_kick_accuracy","long_passing","ball_control","acceleration","sprint_speed","agility","reactions","balance","shot_power","jumping","stamina","strength","long_shots","aggression","interceptions","positioning","vision","penalties","marking","standing_tackle","sliding_tackle","gk_diving","gk_handling","gk_kicking","gk_positioning","gk_reflexes","id","player_name","player_position","player_number"
"1",13423,72,72,3,5,15,67,47,78,58,37,37,54,67,54,48,32,48,33,61,34,79,58,59,87,54,88,75,49,43,72,69,71,73,6,16,14,7,6,16,"Marcin Wasilewski","Defender",27
"2",20694,76,76,3,2,15,66,76,79,71,75,75,53,50,59,76,79,73,85,84,75,77,90,84,62,68,80,45,79,64,75,33,44,33,10,6,14,6,6,11,"Shinji Okazaki","Forward",20
"3",22894,69,69,3,5,15,52,58,56,74,48,62,52,63,64,69,53,52,62,77,62,62,66,90,71,64,69,69,54,69,57,53,66,65,8,11,15,15,10,18,"Dean Hammond","Midfielder",7
"4",23464,67,67,3,5,17,72,68,67,70,62,71,57,68,68,73,47,58,58,61,64,73,52,68,72,70,68,26,67,72,71,32,51,43,7,6,7,8,8,25,"Gary Taylor-Fletcher","Forward",22
"5",23571,78,78,3,5,17,17,19,75,56,23,56,14,18,44,62,48,55,31,78,52,52,76,73,91,35,79,78,39,51,17,80,83,76,14,10,6,7,8,3,"Wes Morgan","Defender",5
"6",23818,71,71,2,5,17,39,22,74,61,36,41,33,22,64,54,33,29,31,72,45,22,65,32,80,32,82,75,36,54,44,71,70,70,11,11,8,12,9,14,"Matthew Upson","Defender",6
"7",24781,67,67,2,5,17,70,36,64,63,47,59,63,68,68,61,53,53,63,68,69,71,76,61,70,62,83,67,58,59,49,72,73,77,16,14,14,10,14,13,"Paul Konchesky","Defender",3
"8",26554,73,73,3,2,17,51,74,83,66,72,68,54,56,63,70,62,61,56,75,57,76,73,68,87,62,74,33,77,59,67,27,48,45,13,8,8,16,11,26,"Jose Leonardo Ulloa","Forward",23
"9",30633,73,73,3,5,17,13,11,14,24,17,13,14,11,23,17,23,26,36,76,43,29,55,19,70,18,40,22,19,31,34,17,19,20,70,73,67,78,69,12,"Mark Schwarzer","Goalkeeper",32
"10",30930,78,78,2,2,15,72,69,73,83,77,70,67,59,77,80,55,55,65,82,73,78,74,69,75,74,80,84,76,74,75,69,81,75,9,7,13,7,15,8,"Esteban Cambiasso","Midfielder",19
"11",37770,78,78,3,5,17,18,12,16,21,15,12,13,15,18,24,64,60,62,75,47,36,60,35,62,14,33,20,14,59,26,14,14,13,81,74,85,77,82,1,"Kasper Schmeichel","Goalkeeper",1
"12",43061,76,76,2,5,17,88,57,76,77,70,67,86,84,72,74,66,68,66,73,60,83,76,78,77,79,78,76,74,72,68,75,77,76,14,12,15,16,13,5,"Christian Fuchs","Defender",28
"13",49571,72,72,3,5,17,68,27,70,62,50,64,44,32,57,63,76,71,63,74,81,37,78,79,71,54,77,75,58,63,54,73,76,75,10,15,13,9,11,4,"Danny Simpson","Defender",17
"14",67850,72,72,3,2,17,68,38,68,63,24,68,28,33,60,67,86,86,64,69,57,61,74,76,73,42,75,66,58,54,40,64,77,74,13,14,14,12,13,2,"Ritchie De Laet","Defender",2
"15",103419,70,71,3,2,17,61,71,71,73,69,69,63,59,70,71,69,65,69,71,60,73,71,69,71,74,51,57,72,70,63,59,65,61,8,6,7,10,6,20,"Andy King","Midfielder",10
"16",139671,75,77,3,2,17,83,68,42,72,74,79,82,66,65,74,80,79,78,65,75,70,60,82,61,68,73,56,67,75,60,41,47,45,15,9,8,15,14,21,"Marc Albrighton","Midfielder",11
"17",173317,76,78,3,5,17,62,61,59,82,58,71,66,43,81,74,70,71,66,75,78,75,56,80,66,69,72,72,68,76,52,62,74,72,12,6,8,9,12,6,"Danny Drinkwater","Midfielder",4
"18",173408,68,73,3,5,17,66,59,63,73,44,67,67,62,70,70,68,67,62,65,71,72,67,77,69,58,64,63,62,67,52,67,64,67,7,10,15,8,14,19,"Matthew James","Midfielder",8
"19",173461,74,78,3,5,17,68,76,60,64,73,80,67,71,50,78,78,69,78,78,74,77,67,73,58,75,68,19,78,59,79,20,20,26,8,14,14,7,15,29,"Andrej Kramaric","Forward",40
"20",202562,73,77,2,2,15,74,70,59,70,61,78,76,75,60,76,80,73,91,70,81,73,74,73,49,70,78,32,72,69,68,15,30,28,14,14,8,11,8,22,"Anthony Knockaert","Midfielder",24
"21",214570,69,77,2,2,17,64,56,62,64,64,74,62,34,54,69,87,86,79,69,80,74,77,76,81,53,68,65,63,61,68,65,68,63,9,7,8,10,9,7,"Jeffrey Schlupp","Midfielder",15
"22",278343,81,85,2,5,17,78,79,45,77,71,88,78,66,74,87,86,79,92,72,80,74,59,76,57,74,39,38,80,82,71,24,27,21,15,9,13,11,6,9,"Riyad Mahrez","Midfielder",26
"23",286119,79,79,3,2,15,63,82,64,66,75,76,52,48,48,75,91,93,76,82,79,84,70,90,69,68,91,51,83,69,76,54,58,56,15,14,7,15,11,10,"Jamie Vardy","Forward",9
