"id","player_api_id","player_name","player_position","player_number"
"1","37770","Kasper Schmeichel","Goalkeeper","1"
"2","67850","Ritchie De Laet","Defender","2"
"3","23571","Wes Morgan","Defender","5"
"4","49571","Danny Simpson","Defender","17"
"5","43061","Christian Fuchs","Defender","28"
"6","173317","Danny Drinkwater","Midfielder","4"
"7","214570","Jeffrey Schlupp","Midfielder","15"
"8","30930","Esteban Cambiasso","Midfielder","19"
"9","278343","Riyad Mahrez","Midfielder","26"
"10","286119","Jamie Vardy","Forward","9"
"11","20694","Shinji Okazaki","Forward","20"
"12","30633","Mark Schwarzer","Goalkeeper","32"
"13","24781","Paul Konchesky","Defender","3"
"14","23818","Matthew Upson","Defender","6"
"16","13423","Marcin Wasilewski","Defender","27"
"18","22894","Dean Hammond","Midfielder","7"
"19","173408","Matthew James","Midfielder","8"
"20","103419","Andy King","Midfielder","10"
"21","139671","Marc Albrighton","Midfielder","11"
"22","202562","Anthony Knockaert","Midfielder","24"
"25","23464","Gary Taylor-Fletcher","Forward","22"
"26","26554","Jose Leonardo Ulloa","Forward","23"
"29","173461","Andrej Kramaric","Forward","40"
