"id","player_api_id","player_name","player_position","player_number"
"1","37868","Simon Mignolet","Goalkeeper","22"
"2","157838","Nathaniel Clyne","Defender","2"
"3","114268","Dejan Lovren","Defender","6"
"4","94043","Mamadou Sakho","Defender","17"
"5","568571","Joseph Gomez","Defender","12"
"6","184536","Philippe Coutinho","Midfielder","10"
"7","38807","James Milner","Midfielder","7"
"8","242709","Roberto Firmino","Midfielder","9"
"9","51553","Daniel Sturridge","Forward","15"
"10","426202","Divock Origi","Forward","27"
"11","214426","Danny Ings","Forward ","28"
"12","254472","Danny Ward","Goalkeeper","52"
"13","37475","Jose Enrique","Defender","3"
"14","30831","Kolo Toure","Defender","4"
"15","314605","Alberto Moreno","Defender","18"
"16","280977","Tiago Ilori","Defender","26"
"17","22764","Martin Skrtel","Defender","37"
"18","239856","Jon Flanagan","Defender","38"
"19","515338","Brad Smith","Defender","44"
"20","265918","Andre Wisdom","Defender","47"
"22","156008","Jordan Henderson","Midfielder","14"
"23","37234","Adam Lallana","Midfielder","20"
"24","95327","Lucas Leiva","Midfielder","21"
"25","307021","Emre Can","Midfielder","23"
"26","47558","Joe Allen","Midfielder","24"
"27","562593","Cameron Brannagan","Midfielder","32"
"28","280653","Jordon Ibe","Midfielder","33"
"31","39225","Rickie Lambert","Forward","9"
"32","108808","Mario Balotelli","Forward","45"
