"","player_api_id","overall_rating","potential","preferred_foot","attacking_work_rate","defensive_work_rate","crossing","finishing","heading_accuracy","short_passing","volleys","dribbling","curve","free_kick_accuracy","long_passing","ball_control","acceleration","sprint_speed","agility","reactions","balance","shot_power","jumping","stamina","strength","long_shots","aggression","interceptions","positioning","vision","penalties","marking","standing_tackle","sliding_tackle","gk_diving","gk_handling","gk_kicking","gk_positioning","gk_reflexes","id","player_name","player_position","player_number"
"1",16351,78,78,2,2,17,90,55,75,70,64,78,85,81,77,74,69,66,64,79,58,91,78,77,78,80,84,80,69,76,74,75,83,82,16,15,8,16,6,15,"Aleksandar Kolarov","Defender",11
"2",26111,80,80,3,2,17,74,40,79,65,56,74,66,47,64,75,75,75,68,80,76,69,84,81,79,62,75,79,66,59,59,83,83,84,11,9,7,9,9,14,"Bacary Sagna","Defender",3
"3",26181,82,82,3,2,17,80,76,42,85,73,85,78,79,75,87,81,78,82,78,92,75,50,69,62,77,33,37,81,85,77,35,37,44,1,1,1,1,1,18,"Samir Nasri","Midfielder",8
"4",28955,77,77,3,5,17,12,11,22,33,13,12,23,11,48,30,49,54,39,75,55,23,70,44,76,14,30,22,7,38,16,15,11,12,80,72,69,78,80,12,"Wilfredo Caballero","Goalkeeper",13
"5",30459,78,78,3,4,17,53,39,84,64,36,33,27,31,63,53,33,34,32,76,55,48,72,49,86,35,87,80,29,40,46,76,80,76,7,11,12,7,6,16,"Martin Demichelis","Defender",26
"6",30509,82,82,3,2,15,75,49,76,72,53,73,68,66,64,76,72,73,71,86,66,66,84,85,79,57,88,86,71,66,64,86,85,84,10,14,15,7,5,3,"Pablo Zabaleta","Defender",5
"7",31291,79,79,2,5,17,79,34,70,64,59,71,64,38,69,76,80,85,77,72,75,52,70,82,66,43,55,77,66,59,45,80,81,85,10,11,9,11,6,5,"Gael Clichy","Defender",22
"8",31432,84,84,3,5,17,14,14,10,32,19,23,17,13,35,20,59,60,50,80,32,65,72,28,61,19,28,25,14,42,68,14,14,13,84,81,75,84,88,1,"Joe Hart","Goalkeeper",1
"9",33991,80,80,3,5,17,79,66,47,77,79,83,80,46,74,81,91,88,91,77,87,75,62,79,34,74,50,33,74,76,56,27,20,26,10,10,15,7,13,7,"Jesus Navas","Midfielder",15
"10",36615,85,85,3,5,16,67,82,74,86,68,81,80,85,83,83,69,78,64,85,55,86,65,86,92,84,78,66,81,85,85,63,78,75,13,14,6,12,8,10,"Yaya Toure","Midfielder",42
"11",37412,88,88,3,2,17,70,90,68,79,85,89,82,72,63,89,92,86,86,88,90,87,80,74,73,84,57,24,91,83,83,13,20,12,13,15,6,11,14,11,"Sergio Aguero","Forward ",10
"12",37459,86,86,2,2,16,85,72,54,92,80,87,83,77,85,91,79,68,93,84,88,71,66,68,56,79,51,41,83,93,77,23,30,29,1,1,1,1,1,9,"David Silva","Midfielder",21
"13",39027,85,85,3,5,17,61,45,84,65,46,64,61,52,66,68,68,69,63,84,42,76,73,68,88,55,81,78,41,59,63,86,90,87,10,9,5,8,6,2,"Vincent Kompany","Defender",4
"14",40196,80,80,3,5,15,68,70,55,82,76,78,70,71,81,76,77,77,79,82,79,83,72,82,73,81,83,84,68,75,61,72,81,78,12,11,5,13,7,20,"Fernandinho","Midfielder",25
"15",78324,77,79,2,2,15,69,63,53,80,59,83,72,48,76,79,79,77,89,72,86,80,72,89,64,73,82,75,71,72,65,63,73,71,10,9,14,11,6,19,"Fabian Delph","Midfielder",18
"16",101103,78,78,3,5,15,60,54,70,75,41,62,65,53,73,72,66,68,74,79,57,76,72,84,81,68,87,83,59,62,54,78,80,82,1,1,1,1,1,17,"Fernando","Midfielder",6
"17",143365,80,81,3,5,16,45,83,84,68,76,74,66,58,45,76,69,75,67,81,72,85,86,78,94,80,70,38,83,65,77,25,42,28,10,8,5,7,11,22,"Wilfried Bony","Forward",14
"18",156551,79,82,2,5,15,59,27,83,61,44,56,47,48,59,66,70,78,62,74,57,72,86,77,86,41,90,75,39,47,46,75,79,84,10,13,6,10,14,4,"Eliaquim Mangala","Defender",20
"19",169200,86,89,3,2,17,90,82,53,88,82,85,78,77,82,86,76,78,78,87,75,84,65,85,73,85,68,52,83,88,77,30,39,40,15,13,5,10,13,8,"Kevin De Bruyne","Midfielder",17
"20",246575,81,87,3,2,17,71,73,38,77,59,86,64,49,67,84,94,92,90,79,91,68,60,75,64,70,34,26,81,76,63,48,58,54,15,12,12,15,9,6,"Raheem Sterling","Midfielder",7
"21",643709,73,87,2,2,17,48,76,58,66,65,73,67,53,57,73,89,85,79,69,70,73,58,65,74,65,56,17,75,65,74,15,22,12,8,7,7,11,15,23,"Kelechi Iheanacho","Forward",72
