"","player_api_id","id","player_name","player_position","player_number","overall_rating","potential","preferred_foot","attacking_work_rate","defensive_work_rate","crossing","finishing","heading_accuracy","short_passing","volleys","dribbling","curve","free_kick_accuracy","long_passing","ball_control","acceleration","sprint_speed","agility","reactions","balance","shot_power","jumping","stamina","strength","long_shots","aggression","interceptions","positioning","vision","penalties","marking","standing_tackle","sliding_tackle","gk_diving","gk_handling","gk_kicking","gk_positioning","gk_reflexes"
"4",32657,1,"Víctor Valdés","Goalkeeper",32,81,81,3,5,17,10,12,11,27,10,12,11,12,36,27,60,55,58,75,53,29,80,34,71,10,36,21,12,38,26,10,12,10,81,78,77,84,82
"17",186137,2,"Phil Jones","Defender",4,80,84,3,5,15,64,50,77,75,60,60,38,35,67,69,63,68,43,78,58,68,84,79,79,59,85,80,42,59,55,81,84,82,10,8,6,16,11
"12",161012,3,"Daley Blind","Defender",17,79,81,2,2,15,65,46,69,83,62,73,70,55,80,80,65,58,73,84,70,68,71,92,73,64,68,84,66,77,56,80,84,77,12,9,10,14,10
"20",362694,4,"Luke Shaw","Defender",23,78,86,2,2,17,76,32,67,75,31,79,63,58,64,76,79,84,80,76,70,50,63,81,77,42,64,75,69,65,53,78,81,80,10,12,13,7,7
"9",46820,5,"Matteo Darmian","Defender",36,81,83,3,2,15,78,38,71,74,59,76,69,35,68,76,79,80,79,78,77,69,70,91,68,56,82,80,64,63,45,80,85,85,6,7,7,12,7
"19",303824,6,"Memphis Depay","Midfielder",7,79,86,3,2,16,67,73,55,73,69,85,85,90,65,82,91,89,82,81,84,88,74,79,78,81,62,21,76,74,66,24,31,20,8,14,6,12,10
"8",41468,7,"Juan Mata","Midfielder",8,83,83,2,5,17,83,77,63,86,71,85,83,83,77,88,78,63,90,87,89,74,72,76,43,72,52,39,84,88,81,25,28,21,9,10,14,5,8
"5",34944,8,"Michael Carrick","Midfielder",16,80,80,3,4,17,72,59,73,86,67,71,64,59,85,80,53,52,58,80,63,78,72,69,66,71,67,86,59,85,64,74,77,72,13,12,11,15,9
"10",46893,9,"Morgan Schneiderlin","Midfielder",28,82,84,3,5,15,65,64,65,82,56,73,68,61,81,79,69,59,66,82,66,71,72,90,78,56,85,86,67,73,56,77,84,82,6,11,12,14,7
"2",30872,10,"Bastian Schweinsteiger","Midfielder",31,85,85,3,2,15,79,73,79,87,82,77,82,78,87,82,51,53,73,89,61,84,83,74,78,81,80,86,80,86,83,68,77,76,14,14,13,13,11
"3",30892,11,"Wayne Rooney","Forward",10,74,74,2,5,17,80,67,62,74,70,77,80,75,75,77,76,75,73,73,75,79,42,77,63,75,39,49,71,76,68,44,29,39,10,12,16,16,9
"16",182917,12,"David De Gea","Goalkeeper",1,87,90,3,5,17,17,13,21,31,13,13,21,19,32,31,51,55,57,84,43,31,67,25,64,12,38,30,12,68,40,13,21,13,88,81,86,85,89
"11",109060,13,"Sergio Romero","Goalkeeper",20,76,76,3,5,17,11,14,12,38,17,12,12,13,36,25,44,42,52,79,44,14,63,35,75,11,33,21,11,42,16,14,11,15,76,67,81,73,82
"13",161035,14,"Marcos Rojo","Defender",5,78,80,2,2,17,78,52,83,69,49,69,67,57,74,68,74,74,69,74,62,79,85,77,83,63,88,79,59,57,64,79,82,82,7,8,12,15,10
"15",165823,15,"Chris Smalling","Defender",12,83,85,3,5,15,52,23,85,71,54,64,36,22,56,64,77,76,60,83,48,42,75,80,88,35,82,83,42,49,52,85,88,85,10,15,16,15,15
"22",465614,16,"Guillermo Varela","Defender",30,68,76,3,2,17,63,30,60,63,38,64,63,43,51,69,84,79,76,60,80,37,71,63,67,30,73,62,49,43,46,66,73,72,13,9,15,15,14
"1",23354,18,"Ashley Young","Midfielder",8,79,79,3,2,15,84,69,51,75,75,83,84,72,68,82,85,82,84,77,77,77,57,69,56,76,47,60,70,79,65,43,54,61,16,10,15,16,15
"14",164676,19,"Ander Herrera","Midfielder",21,81,82,3,2,15,74,71,58,88,67,83,76,65,80,87,78,72,84,81,81,70,63,78,62,74,82,70,80,85,79,60,64,64,9,12,15,9,8
"6",35327,20,"Antonio Valencia","Midfielder",25,75,75,3,2,15,82,58,60,75,69,82,69,66,69,79,79,83,79,79,79,82,64,82,75,59,80,70,72,70,55,65,69,67,16,11,10,7,7
"7",39618,21,"Marouane Fellaini","Midfielder",27,78,78,3,5,17,64,73,91,77,71,74,62,46,69,80,54,59,57,80,52,75,73,86,92,72,92,73,78,77,64,72,77,68,8,6,9,15,16
"18",299215,22,"Jesse Lingard","Midfielder",35,76,82,3,2,17,66,73,58,78,54,76,65,54,65,82,85,82,84,76,84,66,65,79,58,60,56,35,76,71,63,36,58,25,14,10,8,13,9
"21",413557,24,"Anthony Martial","Forward",9,78,86,3,2,17,67,81,72,75,74,85,73,54,58,81,90,88,84,81,80,80,81,79,80,68,62,42,80,64,71,21,18,17,9,8,8,15,11
"23",532741,25,"James Wilson","Forward",19,67,77,2,5,17,45,69,60,59,54,67,48,42,52,68,79,79,62,66,69,65,63,69,65,59,32,22,69,58,67,16,23,24,9,15,14,8,16
