"","player_api_id","id","player_name","player_position","player_number","overall_rating","potential","preferred_foot","attacking_work_rate","defensive_work_rate","crossing","finishing","heading_accuracy","short_passing","volleys","dribbling","curve","free_kick_accuracy","long_passing","ball_control","acceleration","sprint_speed","agility","reactions","balance","shot_power","jumping","stamina","strength","long_shots","aggression","interceptions","positioning","vision","penalties","marking","standing_tackle","sliding_tackle","gk_diving","gk_handling","gk_kicking","gk_positioning","gk_reflexes"
"15",40602,1,"John Ruddy","Goalkeeper",1,75,75,3,5,17,14,17,12,25,11,14,13,13,23,24,38,47,42,78,34,24,76,36,76,15,24,22,15,33,43,11,11,11,77,69,74,74,80
"7",32616,2,"Steven Whittaker","Defender",2,70,70,3,2,17,73,60,75,68,50,66,68,43,64,67,69,69,73,64,57,73,64,79,70,64,69,66,64,67,76,70,74,72,15,16,10,6,12
"3",24903,3,"Russell Martin","Defender",5,73,73,3,5,17,60,55,68,67,50,60,47,45,65,54,69,64,65,74,67,70,74,78,73,46,75,74,53,47,66,76,78,76,8,7,11,16,16
"4",25667,4,"Martin Olsson","Defender",23,74,74,2,2,17,71,55,64,69,65,72,64,53,66,70,79,86,74,73,65,75,71,88,72,64,74,69,69,66,49,74,76,73,11,9,7,9,12
"5",26209,5,"Sébastien Bassong","Defender",30,74,74,2,5,17,34,24,75,59,28,32,47,37,56,48,66,71,55,68,61,64,75,76,84,33,79,73,26,44,50,75,76,74,10,9,11,8,6
"16",46354,6,"Jonny Howson","Midfielder",8,72,72,3,5,15,60,68,45,77,60,72,66,63,72,71,68,68,72,74,69,75,58,88,64,77,69,61,71,76,71,43,70,64,16,9,12,11,12
"10",35493,7,"Wes Hoolahan","Midfielder",14,76,76,2,2,16,73,66,43,80,62,75,65,67,73,80,66,61,78,74,85,70,33,64,50,69,39,35,76,82,77,44,54,45,13,7,16,11,16
"20",201664,8,"Nathan Redmond","Midfielder",22,74,82,3,2,17,71,66,33,69,55,79,69,68,63,77,89,84,90,63,84,71,48,70,43,73,38,22,71,72,60,18,26,30,12,14,16,6,10
"14",40100,9,"Alexander Tettey","Midfielder",27,75,75,3,5,15,60,64,65,76,68,69,61,59,72,70,69,76,76,72,74,86,73,87,78,77,86,78,66,67,59,71,76,70,22,22,28,24,23
"8",32734,10,"Graham Dorrans","Midfielder",41,74,74,3,5,17,75,64,69,78,69,75,77,76,72,77,69,65,74,72,73,77,66,77,61,75,66,63,68,79,75,51,64,60,7,6,11,6,11
"6",31953,11,"Cameron Jerome","Forward",10,73,73,3,5,15,51,73,73,71,67,71,66,64,53,66,78,86,75,70,65,81,82,77,81,70,76,55,71,67,70,34,42,32,13,16,16,16,13
"19",127712,12,"Declan Rudd","Goalkeeper",26,70,74,3,5,17,15,12,14,36,14,20,15,13,36,23,54,46,50,64,34,12,46,31,64,19,24,22,13,31,43,13,13,14,75,68,65,66,77
"9",34275,14,"Michael Turner","Defender",6,73,73,3,4,17,47,36,79,46,31,36,44,30,49,61,34,34,31,64,34,58,73,69,83,21,84,75,22,53,52,72,75,74,11,15,13,8,11
"17",72417,15,"Ryan Bennett","Defender",24,71,73,3,4,17,21,24,73,60,13,25,22,25,64,46,55,50,46,58,61,26,81,69,80,20,82,65,20,17,48,73,76,71,6,16,12,8,12
"2",24583,19,"Bradley Johnson","Midfielder",4,72,72,2,5,17,68,70,76,72,68,68,58,67,74,74,68,68,72,70,73,91,81,81,79,78,88,68,72,70,72,56,73,66,11,6,7,15,11
"18",96456,21,"Elliott Bennett","Midfielder",17,68,69,3,5,17,67,60,38,66,54,70,62,65,64,67,84,81,75,59,71,70,51,66,57,71,46,48,66,66,64,52,61,64,8,13,8,10,8
"1",24393,23,"Gary O'Neil","Midfielder",28,70,70,3,5,17,68,65,54,74,65,67,70,66,68,72,54,54,70,71,78,67,66,84,65,67,72,61,58,68,64,54,65,56,12,8,15,8,14
"13",38366,27,"Vadis Odjidja-Ofoe","Midfielder",39,73,74,3,5,17,67,67,68,76,66,70,64,72,72,73,69,69,66,72,51,79,76,77,83,75,75,70,68,75,74,64,72,70,10,16,11,13,9
"12",37779,29,"Lewis Grabban","Forward",7,69,69,3,2,16,62,71,65,63,67,68,64,60,43,65,79,81,77,65,64,72,62,76,71,65,55,22,67,51,79,18,27,24,10,15,12,12,11
"11",36783,30,"Kyle Lafferty","Forward",9,70,70,3,5,15,55,68,75,65,74,67,54,72,42,67,69,66,58,73,68,75,75,68,79,64,80,14,67,64,75,33,31,35,11,6,8,11,15
