"id","player_api_id","player_name","player_position","player_number"
"1","40602","John Ruddy","Goalkeeper","1"
"2","32616","Steven Whittaker","Defender","2"
"3","24903","Russell Martin","Defender","5"
"4","25667","Martin Olsson","Defender","23"
"5","26209","Sébastien Bassong","Defender","30"
"6","46354","Jonny Howson","Midfielder","8"
"7","35493","Wes Hoolahan","Midfielder","14"
"8","201664","Nathan Redmond","Midfielder","22"
"9","40100","Alexander Tettey","Midfielder","27"
"10","32734","Graham Dorrans","Midfielder","41"
"11","31953","Cameron Jerome","Forward","10"
"12","127712","Declan Rudd","Goalkeeper","26"
"14","34275","Michael Turner","Defender","6"
"15","72417","Ryan Bennett","Defender","24"
"19","24583","Bradley Johnson","Midfielder","4"
"21","96456","Elliott Bennett","Midfielder","17"
"23","24393","Gary O'Neil","Midfielder","28"
"27","38366","Vadis Odjidja-Ofoe","Midfielder","39"
"29","37779","Lewis Grabban","Forward","7"
"30","36783","Kyle Lafferty","Forward","9"
