"id","player_api_id","player_name","player_position","player_number"
"1","95336","Fraser Forster","Goalkeeper","23"
"2","157838","Nathaniel Clyne","Defender","2"
"3","72665","Maya Yoshida","Defender","3"
"4","26552","José Fonte","Defender","6"
"5","46010","Ryan Bertrand","Defender","21"
"6","46893","Morgan Schneiderlin","Midfielder","4"
"7","303339","Sadio Mané","Midfielder","10"
"8","94267","Dušan Tadic","Midfielder","11"
"9","166676","Victor Wanyama","Midfielder","12"
"10","109491","Jay Rodriguez","Forward","9"
"11","41280","Graziano Pellè","Forward","19"
"12","35496","Kelvin Davis","Goalkeeper","1"
"13","278285","Paulo Gazzaniga","Goalkeeper","25"
"14","215245","Florin Gardos","Defender","5"
"16","538112","Matt Targett","Defender","33"
"17","23792","Steven Davis","Midfielder","8"
"18","279490","James Ward-Prowse","Midfielder","16"
"20","502420","Harrison Reed","Midfielder","28"
"22","604589","Jake Hesketh","Midfielder","42"
"23","23293","Shane Long","Forward","7"
"24","112012","Emmanuel Mayuka","Forward","24"
"25","502421","Sam Gallaghe","Forward","40"
