"","player_api_id","id","player_name","player_position","player_number","overall_rating","potential","preferred_foot","attacking_work_rate","defensive_work_rate","crossing","finishing","heading_accuracy","short_passing","volleys","dribbling","curve","free_kick_accuracy","long_passing","ball_control","acceleration","sprint_speed","agility","reactions","balance","shot_power","jumping","stamina","strength","long_shots","aggression","interceptions","positioning","vision","penalties","marking","standing_tackle","sliding_tackle","gk_diving","gk_handling","gk_kicking","gk_positioning","gk_reflexes"
"14",46518,1,"Asmir Begovic","Goalkeeper",1,82,82,3,5,17,14,12,12,26,12,16,17,15,32,24,52,58,53,79,41,28,38,36,80,12,42,21,11,31,40,13,11,12,83,80,74,80,84
"9",36786,2,"Phil Bardsley","Defender",2,72,72,3,5,17,65,47,67,68,43,61,66,33,59,67,67,67,68,74,62,83,75,78,74,66,85,67,56,25,56,74,76,79,11,8,9,9,8
"23",173382,3,"Marc Muniesa","Defender",5,75,81,2,5,17,67,42,70,72,32,63,66,40,56,73,62,68,62,70,66,46,83,74,68,37,78,78,61,61,50,74,78,77,14,12,16,15,10
"13",40695,4,"Ryan Shawcross","Defender",17,80,80,3,5,15,33,53,84,63,35,42,34,24,69,54,54,64,62,73,57,44,72,79,88,28,85,82,31,50,48,82,83,80,10,12,7,13,15
"21",119541,5,"Geoff Cameron","Defender",20,76,76,3,5,17,60,54,73,73,56,67,60,60,66,70,78,69,76,71,53,65,77,77,75,59,77,78,62,73,63,77,81,77,7,16,6,10,14
"1",23253,6,"Glenn Whelan","Midfielder",6,76,76,3,5,15,71,65,64,77,59,66,70,75,70,73,32,53,69,78,66,70,68,79,75,67,82,80,61,66,65,74,76,71,10,13,16,16,11
"18",97988,7,"Wilson Palacios","Midfielder",8,65,65,3,5,17,70,51,70,70,58,69,54,68,70,68,66,53,67,75,76,72,77,34,73,56,85,65,64,61,69,66,70,68,5,13,8,12,13
"19",109621,8,"Steven N'Zonzi","Midfielder",15,79,80,3,5,17,59,46,75,81,52,77,73,42,74,81,65,66,65,75,61,79,64,85,83,66,83,83,66,68,57,73,80,74,7,16,16,16,13
"20",110148,9,"Marko Arnautovic","Forward",10,79,80,3,5,17,83,73,71,79,79,84,79,74,68,84,80,77,76,73,57,76,68,78,85,69,73,46,78,79,78,47,57,30,14,15,10,10,15
"16",72735,10,"Mame Biram Diouf","Forward",18,77,77,3,5,17,62,80,87,67,71,65,32,36,31,70,88,87,75,76,68,80,91,79,78,64,70,51,78,60,75,42,29,21,1,1,1,1,1
"7",30830,11,"Peter Crouch","Forward",25,75,75,3,5,17,59,77,83,79,80,64,57,50,63,78,52,53,56,78,29,75,34,70,69,71,70,23,80,74,74,31,26,20,13,14,7,10,14
"24",288880,12,"Jack Butland","Goalkeeper",22,79,87,3,5,17,11,16,12,36,12,21,12,14,40,26,51,48,58,66,55,29,61,42,59,13,32,27,16,34,42,16,13,11,81,77,73,79,85
"4",23794,13,"Thomas Sørensen","Goalkeeper",29,71,71,3,5,17,18,17,13,26,12,12,15,12,19,21,30,34,27,74,29,24,58,40,77,13,39,6,12,53,24,14,14,13,70,65,72,74,74
"10",37194,15,"Erik Pieters","Defender",3,75,76,2,5,17,64,32,73,75,34,64,67,56,64,73,67,69,65,71,57,51,68,78,76,36,85,76,61,62,65,77,80,81,16,15,8,12,10
"11",38899,16,"Robert Huth","Defender",4,78,78,3,5,15,31,46,83,61,56,31,30,61,68,53,32,53,26,76,42,75,51,76,93,54,91,80,34,32,54,78,82,77,9,16,10,15,9
"15",47418,17,"Marc Wilson","Defender",12,73,73,3,5,17,66,48,69,64,51,63,44,70,67,68,67,67,62,73,61,74,68,79,70,63,72,74,59,68,56,75,78,76,13,6,14,7,9
"3",23369,19,"Andy Wilkinson","Defender",28,68,68,3,5,17,59,18,74,61,19,54,51,32,57,61,67,64,66,62,68,27,75,71,76,25,86,67,23,44,48,77,74,73,16,16,9,15,8
"5",24213,20,"Stephen Ireland","Midfielder",7,75,75,3,5,17,63,68,42,80,80,75,71,60,64,78,65,55,76,80,78,62,60,68,57,64,60,54,79,81,66,38,48,50,16,9,10,11,14
"22",163228,21,"Jamie Ness","Midfielder",14,62,66,2,5,17,62,51,49,63,28,60,51,55,67,62,48,46,69,54,72,53,63,65,65,55,46,51,58,69,61,55,60,59,16,11,6,6,14
"12",39109,22,"Charlie Adam","Midfielder",16,75,75,2,5,16,82,74,69,81,75,72,79,76,81,76,55,46,63,68,68,85,66,65,77,81,88,60,77,81,83,58,61,57,8,7,9,6,6
"2",23283,23,"Steve Sidwell","Midfielder",21,73,73,3,5,17,70,67,69,75,66,67,70,58,70,73,64,53,64,74,71,78,61,86,67,68,80,77,72,69,68,70,71,65,11,10,9,8,10
"6",25550,25,"Peter Odemwingie","Forward",9,73,73,3,2,16,69,77,72,74,75,77,74,71,59,74,76,72,75,74,67,81,78,65,71,74,68,33,77,64,60,37,32,22,15,7,15,8,16
"8",33881,26,"Jonathan Walters","Forward",19,74,74,3,2,15,75,75,74,72,67,72,64,56,61,73,67,68,76,74,68,73,76,91,84,69,81,61,75,69,72,61,56,44,8,14,7,10,6
"17",96643,27,"Bojan Krkic","Forward",27,80,83,3,2,16,68,71,42,81,79,83,83,66,77,83,80,75,83,79,84,77,48,67,45,74,30,29,76,86,68,20,22,19,5,14,8,14,7
