"id","player_api_id","player_name","player_position","player_number"
"1","46518","Asmir Begovic","Goalkeeper","1"
"2","36786","Phil Bardsley","Defender","2"
"3","173382","Marc Muniesa","Defender","5"
"4","40695","Ryan Shawcross","Defender","17"
"5","119541","Geoff Cameron","Defender","20"
"6","23253","Glenn Whelan","Midfielder","6"
"7","97988","Wilson Palacios","Midfielder","8"
"8","109621","Steven N'Zonzi","Midfielder","15"
"9","110148","Marko Arnautovic","Forward","10"
"10","72735","Mame Biram Diouf","Forward","18"
"11","30830","Peter Crouch","Forward","25"
"12","288880","Jack Butland","Goalkeeper","22"
"13","23794","Thomas Sørensen","Goalkeeper","29"
"15","37194","Erik Pieters","Defender","3"
"16","38899","Robert Huth","Defender","4"
"17","47418","Marc Wilson","Defender","12"
"19","23369","Andy Wilkinson","Defender","28"
"20","24213","Stephen Ireland","Midfielder","7"
"21","163228","Jamie Ness","Midfielder","14"
"22","39109","Charlie Adam","Midfielder","16"
"23","23283","Steve Sidwell","Midfielder","21"
"25","25550","Peter Odemwingie","Forward","9"
"26","33881","Jonathan Walters","Forward","19"
"27","96643","Bojan Krkic","Forward","27"
