"id","player_api_id","player_name","player_position","player_number"
"1","103428","Costel Pantilimon","Goalkeeper","1"
"2","22964","Billy Jones","Defender","2"
"3","180330","Patrick van Aanholt","Defender","3"
"4","24150","John O'Shea","Defender","16"
"5","188540","Santiago Vergini","Defender","27"
"6","25150","Lee Cattermole","Midfielder","6"
"7","35443","Sebastian Larsson","Midfielder","7"
"8","109058","Jack Rodwell","Midfielder","8"
"9","24159","Adam Johnson","Midfielder","11"
"10","169721","Connor Wickham","Forward","10"
"11","30348","Jermain Defoe","Forward","28"
"12","303919","Jordan Pickford","Goalkeeper","13"
"13","37233","Vito Mannone","Goalkeeper","25"
"14","30362","Wes Brown","Defender","5"
"15","32579","Anthony Reveillere","Defender","15"
"16","150833","Valentin Roberge","Defender","29"
"17","113908","Liam Bridcutt","Midfielder","4"
"19","307226","El-Hadji Ba","Midfielder","22"
"20","167634","Emanuele Giaccherini","Midfielder","23"
"21","114218","Will Buckley","Midfielder","30"
"22","118929","Jordi Gómez","Midfielder","14"
"23","32627","Steven Fletcher","Forward","9"
"24","38759","Danny Graham","Forward","19"
