"id","player_api_id","player_name","player_position","player_number"
"1","30973","Lukasz Fabianski","Goalkeeper","1"
"2","102356","Neil Taylor","Defender","3"
"3","24948","Ashley Williams","Defender","6"
"4","89185","Àngel Rangel","Defender","22"
"5","155050","Federico Fernández","Defender","33"
"6","144996","Ki Sung-yueng","Midfielder","4"
"7","23882","Leon Britton","Midfielder","7"
"8","127130","Jonjo Shelvey","Midfielder","8"
"9","23305","Nathan Dyer","Midfielder","12"
"10","52563","Jefferson Montero","Forward","20"
"11","26344","Bafétimbi Gomis","Forward","18"
"12","165518","David Cornell","Goalkeeper","13"
"13","33339","Gerhard Tremmel","Goalkeeper","25"
"14","193223","Jordi Amat","Defender","2"
"15","23881","Alan Tate","Defender","5"
"16","42703","Dwight Tiendalli","Defender","19"
"17","111800","Kyle Naughton","Defender","26"
"18","165704","Kyle Bartley","Defender","27"
"21","259810","Stephen Kingsley","Defender","35"
"22","38831","Wayne Routledge","Midfielder","15"
"23","478357","Matt Grimes","Midfielder","21"
"24","157729","Gylfi Sigurðsson","Midfielder","23"
"25","46008","Jack Cork","Midfielder","24"
"27","414208","Adam King","Midfielder","53"
"29","118528","Miguel Pérez Cuesta","Forward","9"
"30","28108","Marvin Emnes","Forward","11"
"33","313668","Modou Barrow","Forward","58"
"34","95955","André Ayew","Forward","10"
