"","player_api_id","overall_rating","potential","preferred_foot","attacking_work_rate","defensive_work_rate","crossing","finishing","heading_accuracy","short_passing","volleys","dribbling","curve","free_kick_accuracy","long_passing","ball_control","acceleration","sprint_speed","agility","reactions","balance","shot_power","jumping","stamina","strength","long_shots","aggression","interceptions","positioning","vision","penalties","marking","standing_tackle","sliding_tackle","gk_diving","gk_handling","gk_kicking","gk_positioning","gk_reflexes","id","player_name","player_position","player_number"
"1",26295,85,85,2,5,17,13,10,10,27,11,10,11,10,31,34,65,63,55,84,54,23,74,41,43,14,31,27,10,30,40,12,10,18,87,82,68,81,88,1,"Hugo Lloris","Goalkeeper",1
"2",37193,80,80,3,5,17,13,14,17,39,12,18,12,14,35,35,57,59,67,82,53,23,79,43,63,19,23,28,10,32,41,15,11,14,83,75,77,79,84,12,"Michel Vorm","Goalkeeper",13
"3",41008,80,80,2,5,17,65,66,68,84,77,85,65,55,79,84,78,77,83,78,59,85,77,82,88,72,74,75,71,76,67,65,77,65,16,14,11,16,14,8,"Mousa Dembélé","Midfielder",19
"4",46353,78,82,2,2,17,78,57,60,74,64,78,63,49,65,75,80,83,71,76,76,71,71,80,71,69,76,74,62,70,57,78,81,83,10,11,8,13,13,4,"Danny Rose","Defender",3
"5",95509,77,77,3,5,17,44,43,84,66,35,48,46,37,62,66,33,32,35,74,33,63,44,67,92,26,81,79,32,47,33,74,82,79,8,9,12,11,14,15,"Federico Fazio","Defender",21
"6",110189,78,80,3,5,17,77,75,67,78,73,83,77,78,68,81,76,77,65,78,54,81,71,84,83,76,59,43,77,78,76,37,48,44,12,11,12,10,13,9,"Nacer Chadli","Midfielder",22
"7",157723,83,87,3,2,17,84,75,52,84,69,84,85,87,82,85,78,74,77,81,79,78,57,87,51,77,44,45,76,85,67,38,54,22,9,14,7,7,6,10,"Christian Eriksen","Midfielder",23
"8",159833,79,81,3,2,17,75,51,76,73,57,74,76,73,67,73,85,92,70,75,73,86,83,88,77,70,78,74,62,67,63,77,81,84,12,6,16,15,8,3,"Kyle Walker","Defender",2
"9",160448,75,79,3,2,17,70,64,55,81,64,71,70,66,77,74,68,71,74,72,77,72,48,82,58,71,76,68,74,76,69,69,73,69,7,10,10,16,14,18,"Ryan Mason ","Midfielder",8
"10",160599,82,83,3,5,17,64,45,81,77,38,61,63,69,81,69,63,69,60,84,49,86,80,75,81,66,79,84,56,60,60,85,87,83,16,6,14,16,14,13,"Toby Alderweireld ","Defender",4
"11",166422,75,81,2,2,17,75,66,54,73,59,84,68,68,59,76,89,89,78,69,71,82,48,69,66,78,46,21,70,71,83,36,29,27,13,11,11,11,13,19,"Andros Townsend ","Midfielder",17
"12",191869,76,80,3,2,15,80,45,70,71,44,72,72,71,70,70,78,78,78,71,76,77,73,85,69,66,66,75,59,70,39,76,74,76,11,14,8,11,10,14,"Kieran Trippier ","Defender",16
"13",194165,82,88,3,2,15,69,85,81,75,70,77,71,71,63,81,69,77,74,84,62,82,67,84,82,78,74,35,84,72,82,41,36,38,8,10,11,14,11,11,"Harry Kane","Forward",10
"14",212702,71,77,2,5,17,60,57,46,80,58,66,66,65,76,74,69,68,83,69,74,59,45,68,33,56,47,55,69,77,56,53,54,47,11,10,11,9,11,23,"Tom Carroll","Midfielder",28
"15",212867,77,81,3,2,15,72,81,65,75,73,83,79,70,53,78,85,86,78,79,77,82,65,74,56,86,53,29,80,69,71,17,19,23,11,13,13,6,10,24,"Son Heung-min","Forward",7
"16",264221,78,83,2,5,17,52,21,75,74,27,63,24,28,70,67,64,70,59,79,61,40,73,65,80,25,76,79,30,59,35,82,81,78,13,10,15,12,11,16,"Kevin Wimmer ","Defender",27
"17",361315,76,85,3,5,15,67,44,83,74,52,60,54,77,76,67,55,71,56,67,40,83,71,81,84,72,80,79,53,64,70,77,80,76,11,14,6,13,9,2,"Eric Dier","Defender",15
"18",363333,77,89,3,2,17,63,75,60,78,71,78,67,46,71,75,76,73,74,80,58,75,59,88,69,74,79,65,81,76,52,57,64,59,7,6,9,11,8,20,"Dele Alli ","Midfielder",20
"19",500520,74,82,2,5,17,62,58,48,80,63,76,67,56,75,77,70,57,75,67,68,74,54,78,71,72,76,77,68,76,58,69,70,58,9,10,16,9,15,6,"Nabil Bentaleb","Midfielder",6
