"id","player_api_id","player_name","player_position","player_number"
"1","26295","Hugo Lloris","Goalkeeper","1"
"2","361315","Eric Dier","Defender","15"
"3","159833","Kyle Walker","Defender","2"
"4","46353","Danny Rose","Defender","3"
"6","500520","Nabil Bentaleb","Midfielder","6"
"8","41008","Mousa Dembélé","Midfielder","19"
"9","110189","Nacer Chadli","Midfielder","22"
"10","157723","Christian Eriksen","Midfielder","23"
"11","194165","Harry Kane","Forward","10"
"12","37193","Michel Vorm","Goalkeeper","13"
"13","160599","Toby Alderweireld ","Defender","4"
"14","191869","Kieran Trippier ","Defender","16"
"15","95509","Federico Fazio","Defender","21"
"16","264221","Kevin Wimmer ","Defender","27"
"18","160448","Ryan Mason ","Midfielder","8"
"19","166422","Andros Townsend ","Midfielder","17"
"20","363333","Dele Alli ","Midfielder","20"
"23","212702","Tom Carroll","Midfielder","28"
"24","212867","Son Heung-min","Forward","7"
