"id","player_api_id","player_name","player_position","player_number"
"1","30455","Heurelho Gomes","Goalkeeper","1"
"2","155260","Gabriele Angella","Defender","4"
"3","114337","Joel Ekstrand","Defender","6"
"5","27720","Marco Motta","Defender","47"
"6","40548","Craig Cathcart ","Midfielder","15"
"7","43158","Daniel Pudil","Midfielder","18"
"8","25816","Almen Abdi ","Midfielder","22"
"9","22991","Ben Watson","Midfielder","23"
"10","72436","Troy Deeney","Forward","9"
"14","71724","Miguel Layún","Defender","7"
"16","165773","Juan Carlos Paredes","Defender","14"
"21","182791","Diego Fabbrini","Midfielder","19"
"24","47563","Fernando Forestieri","Forward","11"
"25","71788","Mathias Ranegie","Forward","13"
"26","24915","Ikechi Anya","Forward","21"
"28","529285","Bernard Mensah","Forward","26"
