"id","player_api_id","player_name","player_position","player_number"
"1","23021","Boaz Myhill","Goalkeeper","13"
"2","38795","Sébastien Pocognoli","Defender","15"
"3","32441","Gareth McAuley","Defender","23"
"4","169162","Craig Dawson","Defender","25"
"6","113968","Claudio Yacob","Midfielder","5"
"7","24171","James Morrison","Midfielder","7"
"8","33468","Stéphane Sessègnon","Midfielder","29"
"9","24148","Darren Fletcher","Midfielder","24"
"10","115160","Brown Ideye","Forward","9"
"11","239807","Saido Berahino","Forward","18"
"12","24147","Ben Foster","Goalkeeper","1"
"14","26527","Jonas Olsson","Defender","3"
"15","43247","Chris Baird","Defender","4"
"16","33086","Joleon Lescott","Defender","6"
"17","192303","Jason Davidson","Defender","14"
"18","114076","Cristian Gamboa","Defender","16"
"20","410017","Donervon Daniels","Defender","22"
"22","25075","Craig Gardner","Midfielder","8"
"23","23257","Chris Brunt","Midfielder","11"
"24","32734","Graham Dorrans","Midfielder","17"
"25","172841","Callum McManaman","Midfielder","19"
"26","71502","Youssouf Mulumbu","Midfielder","21"
"31","25643","Georgios Samaras","Forward","30"
"30","25666","Victor Anichebe","Forward","10"
