"id","player_api_id","player_name","player_position","player_number"
"2","35110","Winston Reid","Defender","2"
"3","155782","Aaron Cresswell","Defender","3"
"4","109897","James Tomkins","Defender","5"
"5","189075","James Collins","Defender","19"
"6","23933","Kevin Nolan ","Midfielder","4"
"7","148302","Cheikhou Kouyaté","Midfielder","8"
"8","37169","Mark Noble","Midfielder","16"
"10","47382","Andy Carroll","Forward","9"
"11","192899","Diafra Sakho","Forward","15"
"12","23932","Jussi Jääskeläinen","Goalkeeper","22"
"14","23931","Joey O'Brien","Defender","17"
"15","30668","Guy Demel","Defender","20"
"17","570760","Reece Burke","Defender","32"
"18","295060","Dan Potts","Defender","33"
"19","575789","Reece Oxford","Midfielder","35"
"20","23538","Matt Jarvis","Midfielder","7"
"21","30892","Stewart Downing","Midfielder","11"
"22","41232","Morgan Amalfitano","Midfielder","21"
"23","18506","Mauro Zárate","Forward","10"
