"id","date_match","season","away_team_api_id","home_team_api_id","away_team_goal","home_team_goal","H_overall_rating","A_overall_rating","H_potential","A_potential","H_buildUpPlaySpeed","H_buildUpPlaySpeedClass","H_buildUpPlayDribblingClass","H_buildUpPlayPassing","H_buildUpPlayPassingClass","H_buildUpPlayPositioningClass","H_chanceCreationPassing","H_chanceCreationPassingClass","H_chanceCreationCrossing","H_chanceCreationCrossingClass","H_chanceCreationShooting","H_chanceCreationShootingClass","H_chanceCreationPositioningClass","H_defencePressure","H_defencePressureClass","H_defenceAggression","H_defenceAggressionClass","H_defenceTeamWidth","H_defenceTeamWidthClass","A_buildUpPlaySpeed","A_buildUpPlaySpeedClass","A_buildUpPlayDribblingClass","A_buildUpPlayPassing","A_buildUpPlayPassingClass","A_buildUpPlayPositioningClass","A_chanceCreationPassing","A_chanceCreationPassingClass","A_chanceCreationCrossing","A_chanceCreationCrossingClass","A_chanceCreationShooting","A_chanceCreationShootingClass","A_chanceCreationPositioningClass","A_defencePressure","A_defencePressureClass","A_defenceAggression","A_defenceAggressionClass","A_defenceTeamWidth","A_defenceTeamWidthClass","result"
"2489","2010-08-14","2010/2011","8654","10252","0","3","854","802","908","878","70","Fast","Little","59","Mixed","Organised","65","Normal","70","Lots","50","Normal","Free Form","30","Deep","70","Double","30","Narrow","58","Balanced","Little","30","Short","Organised","31","Safe","70","Lots","50","Normal","Organised","30","Deep","70","Double","30","Narrow","win"
"2490","2010-08-14","2010/2011","8668","8655","0","1","804","864","873","912","55","Balanced","Little","70","Long","Organised","60","Normal","70","Lots","55","Normal","Organised","45","Medium","70","Double","45","Normal","60","Balanced","Little","65","Mixed","Organised","60","Normal","70","Lots","45","Normal","Organised","40","Medium","70","Double","40","Normal","win"
"2491","2010-08-14","2010/2011","9879","8559","0","0","","808","","881","55","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","45","Normal","Organised","35","Medium","70","Double","35","Normal","60","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","50","Normal","Organised","40","Medium","35","Press","40","Normal","draw"
"2492","2010-08-14","2010/2011","8659","8455","0","6","906","776","960","863","70","Fast","Little","60","Mixed","Free Form","56","Normal","70","Lots","70","Lots","Free Form","30","Deep","60","Press","35","Normal","65","Balanced","Little","40","Mixed","Organised","70","Risky","70","Lots","55","Normal","Organised","70","High","70","Double","70","Wide","win"
"2495","2010-08-14","2010/2011","8658","8472","2","2","804","846","891","884","60","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","55","Normal","Organised","35","Medium","70","Double","35","Normal","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","70","Lots","Organised","70","High","70","Double","70","Wide","draw"
"2496","2010-08-14","2010/2011","8456","8586","0","0","869","880","927","949","70","Fast","Little","50","Mixed","Organised","50","Normal","65","Normal","50","Normal","Organised","50","Medium","50","Press","50","Normal","70","Fast","Little","60","Mixed","Organised","55","Normal","70","Lots","70","Lots","Organised","45","Medium","55","Press","45","Normal","draw"
"2497","2010-08-14","2010/2011","10194","8602","1","2","768","818","833","864","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","70","Lots","Organised","70","High","70","Double","70","Wide","65","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","55","Normal","Organised","35","Medium","70","Double","35","Normal","win"
"2498","2010-08-14","2010/2011","8483","8528","4","0","791","733","861","820","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","50","Normal","Organised","35","Medium","70","Double","35","Normal","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","65","Normal","Organised","70","High","70","Double","70","Wide","lose"
"2493","2010-08-15","2010/2011","9825","8650","1","1","891","870","946","947","50","Balanced","Little","35","Mixed","Organised","50","Normal","60","Normal","70","Lots","Organised","40","Medium","60","Press","40","Normal","66","Balanced","Little","30","Short","Free Form","30","Safe","45","Normal","35","Normal","Free Form","30","Deep","40","Press","50","Normal","draw"
"2494","2010-08-16","2010/2011","10261","10260","0","3","893","799","949","858","70","Fast","Little","45","Mixed","Organised","45","Normal","70","Lots","65","Normal","Free Form","40","Medium","50","Press","40","Normal","70","Fast","Little","60","Mixed","Organised","65","Normal","70","Lots","60","Normal","Organised","45","Medium","65","Press","45","Normal","win"
"2599","2010-08-21","2010/2011","8483","9825","0","6","871","727","950","816","66","Balanced","Little","30","Short","Free Form","30","Safe","45","Normal","35","Normal","Free Form","30","Deep","40","Press","50","Normal","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","65","Normal","Organised","70","High","70","Double","70","Wide","win"
"2600","2010-08-21","2010/2011","8559","8654","3","1","815","","877","","58","Balanced","Little","30","Short","Organised","31","Safe","70","Lots","50","Normal","Organised","30","Deep","70","Double","30","Narrow","55","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","45","Normal","Organised","35","Medium","70","Double","35","Normal","lose"
"2601","2010-08-21","2010/2011","8602","8668","1","1","847","762","902","834","60","Balanced","Little","65","Mixed","Organised","60","Normal","70","Lots","45","Normal","Organised","40","Medium","70","Double","40","Normal","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","70","Lots","Organised","70","High","70","Double","70","Wide","draw"
"2605","2010-08-21","2010/2011","8655","8658","1","2","834","801","887","878","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","70","Lots","Organised","70","High","70","Double","70","Wide","55","Balanced","Little","70","Long","Organised","60","Normal","70","Lots","55","Normal","Organised","45","Medium","70","Double","45","Normal","win"
